Animale,Autorul anunțului,Balcon/ lojie,Compartimentare,Copii,Dezvoltator,Etaj,Fond locativ,Grup sanitar,Inălțimea tavanelor,Living,Loc de parcare,Număr de camere,Număr de etaje,Starea apartamentului,Suprafață bucătărie,Suprafață locativă,Suprafață totală,Tip clădire,price,region
,Dezvoltator imobiliar,,Individuală,,Lagmar Impex,12,Construcţii noi,1,290 cm,Apartament cu living,Deschis,Apartament cu 1 cameră,17,Euroreparație,15 m²,25 m²,50 m²,Combinat,93 000€,Chișinău_Râșcani
,Dezvoltator imobiliar,,,,,2,Construcţii noi,,,,,Apartament cu 2 camere,3,,,,50 m²,,50 000€,Chișinău_Ciocana
,Dezvoltator imobiliar,1,Individuală,,Astercon,1,Construcţii noi,1,275 cm,,Garaj,Apartament cu 2 camere,8,Variantă albă,0 m²,1 m²,65 m²,Cotileț,96 280€,Dumbrava_Periferie
,Agenție,,,,,16,Secundar,1,,,,Apartament cu 2 camere,16,Euroreparație,,,40 m²,,70 000€,Chișinău_Buiucani
,Agenție,Nu,Individuală,,,7,Construcţii noi,1,,,Deschis,Apartament cu 2 camere,9,Variantă albă,,,75 m²,,135 000€,Chișinău_Centru
,Agenție,1,Individuală,,,5,Construcţii noi,2,,,Deschis,Apartament cu 2 camere,9,Reparație cosmetică,,,103 m²,,143 000€,Chișinău_Centru
,Dezvoltator imobiliar,,,,,7,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,13,,,,73 m²,,210 000€,Chișinău_Râșcani
,Agenție,Nu,Individuală,,Dansicons,3,Construcţii noi,2,,,Deschis,Apartament cu 2 camere,12,Euroreparație,,,84 m²,Cărămidă,169 900€,Chișinău_Ciocana
,Agenție,1,Individuală,,,7,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,8,Variantă albă,,,46 m²,,57 288€,Chișinău_Durlești
,Agenție,Nu,,,Inamstro,5,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,11,Euroreparație,,,83 m²,,185 000€,Chișinău_Râșcani
,Dezvoltator imobiliar,,,,,4,Secundar,,,,,Apartament cu 1 cameră,5,,,,23 m²,,43 500€,Chișinău_Botanica
,Persoană fizică,,,,,11,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,16,Euroreparație,,80 m²,80 m²,,168 000€,Chișinău_Centru
Se acceptă animale,Agenție,Nu,,Se acceptă copii,Inamstro,6,Construcţii noi,1,300 cm,Apartament cu living,Deschis,Apartament cu 1 cameră,12,Euroreparație,,43 m²,43 m²,Beton celular,169 900€,Chișinău_Centru
Se acceptă animale,Agenție,1,,Se acceptă copii,,16,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 3 camere,16,Euroreparație,,,81 m²,,124 900€,Chișinău_Ciocana
,Dezvoltator imobiliar,1,Ms (serie  moldovenească),,,7,Secundar,2,,,Deschis,Apartament cu 2 camere,9,Euroreparație,,,52 m²,,102 900€,Chișinău_Botanica
,Agenție,1,Individuală,,,5,Construcţii noi,1,,,Deschis,Apartament cu 2 camere,9,Euroreparație,,,64 m²,Combinat,155 900€,Chișinău_Râșcani
,Dezvoltator imobiliar,,,,,8,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,8,,,,42 m²,,95 900€,Chișinău_Buiucani
,Agenție,,,,,7,Construcţii noi,,,,,Apartament cu 3 camere,7,,,,76 m²,,94 240€,Chișinău_Buiucani
,Persoană fizică,2,,,,4,Secundar,,,,,Apartament cu 2 camere,5,,,,40 m²,,7 000€,Bender/Tighina_Centru
