Animale,Autorul anunțului,Balcon/ lojie,Compartimentare,Copii,Dezvoltator,Etaj,Fond locativ,Grup sanitar,Inălțimea tavanelor,Living,Loc de parcare,Număr de camere,Număr de etaje,Starea apartamentului,Suprafață bucătărie,Suprafață locativă,Suprafață totală,Tip clădire,price
,Agenție,1,,,Inamstro,13,Construcţii noi,1,,,Subterană,Apartament cu 3 camere,13.0,Variantă albă,,,84 m²,,220 000€
,Dezvoltator imobiliar,,,,,4,Construcţii noi,,0 cm,,,Apartament cu 2 camere,7.0,,0 m²,0 m²,45 m²,,84 999€
,Agenție,1,Individuală,,,5,Secundar,2,0 cm,Apartament fără living,Deschis,Apartament cu 3 camere,9.0,,0 m²,0 m²,78 m²,Cotileț,115 000€
,Bancă,1,,,,1,Construcţii noi,1,,Apartament cu living,,Apartament cu 3 camere,10.0,Euroreparație,,,172 m²,Beton,145 000€
,Agenție,,,,,5,Secundar,1,,,Deschis,Apartament cu 2 camere,1.0,Design individual,,,44 m²,,44 500€
,Agenție,3,,,,3,Construcţii noi,1,0 cm,,,Apartament cu 3 camere,13.0,Variantă albă,0 m²,0 m²,83 m²,,128 650€
,Persoană fizică,,,,,1,Secundar,,3 cm,Apartament cu living,Deschis,Apartament cu 1 cameră,5.0,Reparație cosmetică,6 m²,30 m²,30 m²,Cărămidă,8 000€
,Persoană fizică,,,,,8,Secundar,2,,,,Apartament cu 2 camere,16.0,Euroreparație,,,60 m²,Beton,93 000€
Cu acordul stăpânului,Agenție,,Individuală,Cu acordul stăpânului,,12,Construcţii noi,2,,,Deschis,Apartament cu 3 camere,15.0,Euroreparație,,,95 m²,,345 900€
,Agenție,1,Individuală,,,7,Secundar,2,,Apartament cu living,Deschis,Apartament cu 3 camere,20.0,Reparație cosmetică,12 m²,52 m²,80 m²,Monolit,105 900€
,Dezvoltator imobiliar,1,Individuală,,Savvides Monark,2,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 2 camere,10.0,Variantă albă,14 m²,34 m²,81 m²,Combinat,165 000€
,Agenție,1,Individuală,,Exfactor-grup,7,Construcţii noi,2,,,Deschis,Apartament cu 3 camere,9.0,Euroreparație,,,85 m²,Cărămidă,179 000€
,Dezvoltator imobiliar,2,,,Exfactor-grup,3,Construcţii noi,,275 cm,Apartament cu living,Subterană,Apartament cu 3 camere,9.0,Variantă albă,,,84 m²,Cărămidă,104 000€
,Agenție,,,,,10,Construcţii noi,,,,,Apartament cu 3 camere,10.0,,,,84 m²,,139 424€
,Agenție,,,,,8,Secundar,,,,,Apartament cu 2 camere,9.0,,,,52 m²,,91 900€
,Dezvoltator imobiliar,,,,Solomon Construct Imobil,6,Construcţii noi,1,,Apartament cu living,Subterană,Apartament cu 3 camere,11.0,Design individual,,85 m²,85 m²,,169 900€
,Agenție,,,,,3,Construcţii noi,2,,,,Apartament cu 3 camere,6.0,Variantă albă,,,92 m²,,115 725€
,Agenție,1,,,,4,Construcţii noi,1,0 cm,,,Apartament cu 1 cameră,16.0,Variantă albă,0 m²,0 m²,46 m²,,69 000€
,Dezvoltator imobiliar,,,,Solomon Construct Imobil,5,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,12.0,,,,67 m²,Cotileț,94 600€
,Agenție,,,,,4,Construcţii noi,,0 cm,,Deschis,Apartament cu 3 camere,6.0,Euroreparație,0 m²,0 m²,70 m²,Cărămidă,86 000€
,Agenție,,,,Lagmar Impex,15,Construcţii noi,1,0 cm,Apartament fără living,Subterană,Apartament cu 1 cameră,16.0,Variantă albă,0 m²,0 m²,43 m²,,70 000€
,Agenție,1,Rubaşka,,,4,Secundar,,,Apartament cu living,,Apartament cu 3 camere,4.0,Euroreparație,,,60 m²,Cotileț,83 900€
,Dezvoltator imobiliar,,,,,7,Construcţii noi,,,,,Apartament cu 3 camere,9.0,,,,68 m²,,146 900€
,Agenție,,,,,4,Secundar,,,,,Apartament cu 1 cameră,5.0,,,,32 m²,,36 500€
,Agenție,1,,,,3,Construcţii noi,1,,,,Apartament cu 1 cameră,9.0,Euroreparație,,,47 m²,,80 000€
,Agenție,1,,,,5,Construcţii noi,1,,,,Apartament cu 2 camere,9.0,Euroreparație,,,63 m²,,114 900€
,Agenție,1,Individuală,,Basconslux,4,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,10.0,Reparație cosmetică,,,75 m²,Combinat,149 900€
,Agenție,1,,,,2,Construcţii noi,2,,,Deschis,Apartament cu 3 camere,5.0,Variantă albă,,,92 m²,Monolit,101 838€
,Persoană fizică,1,,,,5,Secundar,1,250 cm,,Deschis,Apartament cu 3 camere,5.0,Euroreparație,,60 m²,60 m²,,76 500€
,Agenție,2,Individuală,,,2,Construcţii noi,2,,,Deschis,Apartament cu 2 camere,10.0,Euroreparație,,,74 m²,,142 002€
Se acceptă animale,Agenție,Nu,,Se acceptă copii,,4,Secundar,1,,Apartament fără living,Deschis,Apartament cu 1 cameră,5.0,Euroreparație,,,18 m²,,35 500€
,Agenție,1,,,,8,Construcţii noi,2,,Apartament fără living,Deschis,Apartament cu 2 camere,10.0,Variantă albă,,,58 m²,,74 200€
,Agenție,1,Individuală,,,2,Construcţii noi,1,,,,Apartament cu 2 camere,13.0,Variantă albă,,,72 m²,,80 600€
,Agenție,,,,,2,Construcţii noi,1,,,,Apartament cu 2 camere,10.0,Euroreparație,,,77 m²,,225 000€
,Agenție,,,,,6,Secundar,2,,,Deschis,Apartament cu 2 camere,14.0,Euroreparație,,,51 m²,,99 900€
,Dezvoltator imobiliar,2,,,Exfactor-grup,3,Construcţii noi,,275 cm,Apartament cu living,Subterană,Apartament cu 2 camere,9.0,Variantă albă,,,67 m²,Cărămidă,87 000€
,Agenție,Nu,Individuală,,,2,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,12.0,Variantă albă,,,81 m²,,139 000€
,Agenție,1,,,,2,Construcţii noi,1,3000 cm,Apartament cu living,,Apartament cu 2 camere,10.0,Euroreparație,,,58 m²,,123 900€
,Dezvoltator imobiliar,1,Individuală,,Poliprim Grup,4,Construcţii noi,1,,,,Apartament cu 1 cameră,8.0,Variantă albă,,,46 m²,Combinat,50 600€
,Agenție,,,,,5,Construcţii noi,,,,,Apartament cu 1 cameră,9.0,Euroreparație,,,45 m²,Cărămidă,93 900€
,Agenție,,,,,1,Secundar,1,,Apartament cu living,Deschis,Apartament cu 2 camere,5.0,Euroreparație,,,47 m²,,94 900€
,Dezvoltator imobiliar,,,,,5,Secundar,,,,,Apartament cu 1 cameră,5.0,,,,44 m²,,71 000€
,Agenție,1,,,,1,Secundar,,,Apartament cu living,Deschis,Apartament cu 2 camere,5.0,Euroreparație,,,65 m²,,114 900€
,Agenție,,,,,9,Construcţii noi,1,0 cm,,,Apartament cu 2 camere,12.0,Euroreparație,0 m²,0 m²,47 m²,,126 500€
,Agenție,Nu,Individuală,,,2,Construcţii noi,1,,,Deschis,Apartament cu 2 camere,8.0,Euroreparație,,,72 m²,,238 000€
Fără animale,Agenție,1,Individuală,Se acceptă copii,,2,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,12.0,Euroreparație,,,47 m²,,125 000€
,Agenție,2,Итальянский Двор,,A-casa,9,Construcţii noi,2,,Apartament cu living,,Apartament cu 3 camere,9.0,Euroreparație,,,102 m²,,189 900€
,Agenție,1,,,,7,Construcţii noi,2,,,,Apartament cu 2 camere,10.0,Variantă albă,,,73 m²,,98 800€
,Agenție,1,,,Basconslux,10,Construcţii noi,2,,,Deschis,Apartament cu 3 camere,12.0,Design individual,,,150 m²,Combinat,464 000€
,Agenție,3,,,,3,Construcţii noi,1,,,Deschis,Apartament cu 3 camere,14.0,Euroreparație,,,117 m²,Combinat,175 000€
,Agenție,Nu,Individuală,,,9,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,10.0,Variantă albă,,,75 m²,,130 000€
,Agenție,1,,,,1,Secundar,1,,Apartament cu living,Deschis,Apartament cu 2 camere,5.0,Euroreparație,,,48 m²,,98 000€
,Agenție,2,,,Exfactor-grup,6,Construcţii noi,2,,,Subterană,Apartament cu 3 camere,10.0,Variantă albă,,,85 m²,Combinat,108 800€
,Agenție,1,,,,12,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,17.0,Euroreparație,,,60 m²,,190 000€
,Agenție,1,,,,2,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,4.0,Variantă albă,,,60 m²,,60 000€
,Agenție,,,,,14,Secundar,1,,,Deschis,Apartament cu 1 cameră,16.0,Design individual,,,29 m²,,58 500€
,Agenție,1,,,Exfactor-grup,2,Construcţii noi,1,,Apartament cu living,,Apartament cu 1 cameră,10.0,Euroreparație,,,50 m²,,123 900€
,Dezvoltator imobiliar,,,,Lagmar Impex,3,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,12.0,,,,60 m²,,148 000€
,Persoană fizică,,,,Inamstro,6,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,12.0,Variantă albă,,,58 m²,,136 000€
,Agenție,1,Individuală,,,5,Secundar,1,,,Deschis,Apartament cu 3 camere,5.0,Fără reparație,,,70 m²,Cotileț,112 000€
,Agenție,1,,,Lagmar Impex,7,Construcţii noi,2,,,,Apartament cu 2 camere,9.0,Variantă albă,,,57 m²,,62 700€
,Agenție,2,Individuală,,,5,Construcţii noi,1,,,,Apartament cu 2 camere,10.0,Euroreparație,,,63 m²,Combinat,114 900€
Fără animale,Persoană fizică,2,Individuală,Cu acordul stăpânului,,3,Secundar,1,2500 cm,,Subterană,Apartament cu 3 camere,9.0,Euroreparație,12 m²,79 m²,87 m²,Cotileț,1 200€
,Agenție,1,Individuală,,,5,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,9.0,Construcție nefinisată,,,47 m²,Cărămidă,51 000€
,Dezvoltator imobiliar,2,,,,5,Construcţii noi,2,,,Subterană,Apartament cu 3 camere,13.0,Variantă albă,,,87 m²,,134 850€
,Persoană fizică,1,Individuală,,AMIC,9,Secundar,2,,,,Apartament cu 3 camere,10.0,Euroreparație,15 m²,120 m²,122 m²,Cărămidă,202 500€
,Dezvoltator imobiliar,,,,,9,Secundar,,,,,Apartament cu 3 camere,9.0,,,,67 m²,,80 000€
,Agenție,,,,Inamstro,6,Construcţii noi,,3 cm,Apartament cu living,,Apartament cu 1 cameră,8.0,Euroreparație,0 m²,0 m²,46 m²,Combinat,179 900€
Cu acordul stăpânului,Agenție,2,Individuală,Cu acordul stăpânului,,7,Secundar,2,,,Deschis,Apartament cu 3 camere,16.0,Euroreparație,,,65 m²,,77 900€
,Agenție,1,Individuală,,M.V.Construct Service,2,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,10.0,Construcție nefinisată,,,47 m²,Combinat,66 500€
Fără animale,Agenție,1,Individuală,Se acceptă copii,,7,Secundar,2,,,Deschis,Apartament cu 2 camere,9.0,Euroreparație,,,52 m²,,98 500€
,Agenție,2,,,,9,Construcţii noi,1,,,,Apartament cu 3 camere,9.0,Euroreparație,,,104 m²,,161 000€
,Agenție,Nu,,,,1,Secundar,1,,Apartament fără living,Deschis,Apartament cu 1 cameră,2.0,Reparație cosmetică,,,22 m²,,48 555€
,Dezvoltator imobiliar,,Ms (serie  moldovenească),,,5,Secundar,,,,,Apartament cu 3 camere,5.0,Variantă albă,,,73 m²,,87 000€
,Agenție,,,,,6,Secundar,,,,,Apartament cu 2 camere,9.0,,,,52 m²,,115 900€
,Dezvoltator imobiliar,,,,,2,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,10.0,,,,49 m²,,93 000€
,Agenție,1,,,,5,Secundar,,,Apartament cu living,,Apartament cu 1 cameră,5.0,Euroreparație,,,33 m²,,68 500€
,Persoană fizică,2,,,,9,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 3 camere,9.0,Euroreparație,,,102 m²,,189 900€
,Agenție,1,,,,16,Construcţii noi,2,,Apartament fără living,Deschis,Apartament cu 3 camere,16.0,,,,81 m²,,124 900€
,Agenție,1,,,,4,Secundar,2,,,,Apartament cu 2 camere,4.0,Euroreparație,,,69 m²,,97 000€
,Dezvoltator imobiliar,,,,,3,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,5.0,Euroreparație,,,67 m²,Bloc,97 000€
,Agenție,1,,,,3,Construcţii noi,2,,,Deschis,Apartament cu 3 camere,12.0,Variantă albă,,,72 m²,,99 175€
,Dezvoltator imobiliar,1,Individuală,,Rodaris Pro,7,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 2 camere,9.0,Design individual,,,62 m²,,195 000€
,Agenție,1,,,,3,Construcţii noi,1,,,Subterană,Apartament cu 2 camere,7.0,Euroreparație,,,70 m²,,140 000€
,Agenție,1,Individuală,,,1,Construcţii noi,2,,,Deschis,Apartament cu 2 camere,15.0,Euroreparație,,,58 m²,,125 500€
,Agenție,,,,,2,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,9.0,Euroreparație,,,65 m²,,124 900€
,Persoană fizică,,,,,4,Secundar,,,,,Apartament cu 3 camere,9.0,,,,75 m²,,117 000€
,Agenție,1,,,Lagmar Impex,9,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,15.0,Euroreparație,,,76 m²,,245 000€
,Agenție,,Hruşciovka,,,2,Secundar,1,,Apartament cu living,,Apartament cu 2 camere,5.0,Euroreparație,,,45 m²,Cotileț,99 900€
,Dezvoltator imobiliar,,,,,3,Secundar,,,Apartament cu living,,Apartament cu 2 camere,5.0,,,,63 m²,,114 900€
,Dezvoltator imobiliar,1,,,,3,Secundar,1,,,,Apartament cu 3 camere,5.0,Euroreparație,,,60 m²,,93 000€
,Persoană fizică,1,,,Lagmar Impex,3,Construcţii noi,1,,,,Apartament cu 1 cameră,9.0,Variantă albă,13 m²,22 m²,47 m²,,63 450€
,Agenție,2,Individuală,,AlimConstruct Grup,6,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 2 camere,9.0,Euroreparație,,,110 m²,,241 000€
,Agenție,Nu,Individuală,,,9,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,12.0,Euroreparație,,,50 m²,,124 500€
,Agenție,1,,,,7,Construcţii noi,1,,Apartament fără living,Deschis,Apartament cu 2 camere,9.0,Euroreparație,,,45 m²,,89 900€
,Agenție,1,Individuală,,,3,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,9.0,Variantă albă,,,40 m²,,50 500€
,Dezvoltator imobiliar,1,Individuală,,,4,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,9.0,Variantă albă,,,44 m²,Combinat,46 200€
,Agenție,,,,,4,Secundar,1,,,,Apartament cu 1 cameră,5.0,Reparație cosmetică,,18 m²,18 m²,,29 500€
,Agenție,1,,,,5,Secundar,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,5.0,Euroreparație,,,32 m²,,67 900€
,Agenție,1,,,Lagmar Impex,2,Construcţii noi,1,,Apartament cu living,Subterană,Apartament cu 1 cameră,10.0,Variantă albă,,,51 m²,,81 500€
,Dezvoltator imobiliar,,,,,8,Construcţii noi,,0 cm,,,Apartament cu 1 cameră,9.0,,0 m²,0 m²,41 m²,,99 000€
,Agenție,,,,Exfactor-grup,5,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,9.0,Euroreparație,,,49 m²,,134 900€
Se acceptă animale,Agenție,1,,Se acceptă copii,Lagmar Impex,5,Construcţii noi,1,,Apartament cu living,Subterană,Apartament cu 2 camere,9.0,Variantă albă,11 m²,46 m²,46 m²,Beton,54 740€
,Dezvoltator imobiliar,,,,Inamstro,6,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,13.0,Variantă albă,,,58 m²,,136 000€
,Agenție,2,,,,2,Construcţii noi,1,,Apartament fără living,Deschis,Apartament cu 2 camere,14.0,Euroreparație,,,74 m²,,165 000€
,Persoană fizică,,,,,5,Secundar,,,,,Apartament cu 2 camere,5.0,,,,53 m²,,22 000€
,Agenție,Nu,,,,3,Secundar,1,,Apartament fără living,Deschis,Apartament cu 1 cameră,9.0,Reparație cosmetică,,,36 m²,,59 000€
,Dezvoltator imobiliar,1,Individuală,,Lagmar Impex,9,Construcţii noi,1,,Apartament cu living,Subterană,Apartament cu 2 camere,14.0,Euroreparație,,,76 m²,,244 900€
,Agenție,1,,,,2,Secundar,1,,Apartament cu living,Deschis,Apartament cu 3 camere,3.0,Reparație cosmetică,,,95 m²,Cotileț,119 900€
,Persoană fizică,1,,,,16,Secundar,1,,Apartament cu living,Deschis,Apartament cu 3 camere,17.0,Euroreparație,,,80 m²,Beton,98 500€
,Persoană fizică,1,102,,,3,Secundar,1,,Apartament cu living,Deschis,Apartament cu 4 camere,5.0,Reparație cosmetică,8 m²,54 m²,82 m²,Cotileț,102 000€
,Dezvoltator imobiliar,Nu,Garsonieră,,,4,Secundar,1,270 cm,Apartament fără living,Deschis,O cameră,9.0,Euroreparație,3 m²,12 m²,15 m²,Combinat,30 800€
,Agenție,1,143,,,7,Secundar,2,,,Deschis,Apartament cu 2 camere,9.0,Reparație cosmetică,,,54 m²,Panou,99 000€
,Persoană fizică,2,Individuală,,Boiar House,2,Construcţii noi,2,260 cm,Apartament cu living,,Apartament cu 3 camere,10.0,Variantă albă,13 m²,,100 m²,Combinat,119 000€
,Agenție,,,,,1,Construcţii noi,1,,,,Apartament cu 1 cameră,4.0,Euroreparație,,,24 m²,,46 000€
,Dezvoltator imobiliar,,,,,5,Secundar,,,,,O cameră,5.0,,,,17 m²,,21 500€
,Agenție,,,,,1,Secundar,,,,,Apartament cu 1 cameră,9.0,,,,36 m²,,66 900€
,Dezvoltator imobiliar,,,,,4,Secundar,,0 cm,,,Apartament cu 2 camere,5.0,,0 m²,0 m²,45 m²,,62 500€
,Agenție,,,,,11,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,14.0,Euroreparație,,,48 m²,,125 000€
,Agenție,3,143,,,9,Secundar,,,,,Apartament cu 3 camere,10.0,,,,67 m²,,104 900€
,Agenție,2,102,,,5,Secundar,2,,Apartament fără living,Deschis,Apartament cu 3 camere,5.0,Reparație cosmetică,9 m²,44 m²,70 m²,Cotileț,89 900€
,Dezvoltator imobiliar,,Individuală,,,10,Construcţii noi,2,,,,Apartament cu 3 camere,10.0,Variantă albă,,,87 m²,Combinat,99 750€
,Dezvoltator imobiliar,,,,,9,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,9.0,,,,67 m²,,79 202€
,Persoană fizică,,,,,3,Secundar,1,,Apartament fără living,,Apartament cu 2 camere,5.0,Reparație cosmetică,,,45 m²,Cotileț,68 000€
,Agenție,1,,,Braus Imobiliare,6,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,22.0,Euroreparație,,,48 m²,,123 800€
,Agenție,1,143,,,5,Secundar,2,,,,Apartament cu 2 camere,9.0,Reparație cosmetică,9 m²,,53 m²,Panou,95 000€
,Agenție,,,,,9,Construcţii noi,1,,,,Apartament cu 3 camere,10.0,Euroreparație,,,88 m²,,199 900€
,Agenție,,,,Reconscivil,2,Construcţii noi,,,,,Apartament cu 2 camere,14.0,Euroreparație,,,66 m²,,131 500€
,Dezvoltator imobiliar,1,,,,1,Secundar,1,0 cm,,,Apartament cu 2 camere,2.0,Euroreparație,0 m²,44 m²,60 m²,Cotileț,58 000€
,Dezvoltator imobiliar,2,,,,3,Construcţii noi,,275 cm,Apartament cu living,,Apartament cu 1 cameră,9.0,Variantă albă,,,49 m²,Cărămidă,69 100€
,Agenție,1,Individuală,,Basconslux,8,Construcţii noi,1,,Apartament cu living,Subterană,Apartament cu 2 camere,10.0,Euroreparație,,,48 m²,Combinat,129 900€
,Dezvoltator imobiliar,,,,,11,Construcţii noi,,,,,Apartament cu 2 camere,13.0,,,,66 m²,,122 000€
,Agenție,,,,,2,Secundar,,,,,Apartament cu 1 cameră,5.0,Euroreparație,,,30 m²,,69 900€
,Agenție,,Individuală,,,2,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,4.0,Euroreparație,,65 m²,65 m²,,129 000€
,Persoană fizică,,,,,6,Construcţii noi,2,,Apartament cu living,,Apartament cu 2 camere,6.0,Euroreparație,,,46 m²,,43 500€
,Dezvoltator imobiliar,1,,,,1,Construcţii noi,1,270 cm,Apartament cu living,Deschis,Apartament cu 3 camere,10.0,Variantă albă,,,77 m²,Monolit,76 843€
,Agenție,2,143,,,7,Secundar,2,,,Deschis,Apartament cu 3 camere,9.0,Euroreparație,,,75 m²,Panou,105 900€
,Dezvoltator imobiliar,,,,,8,Construcţii noi,,0 cm,,,Apartament cu 2 camere,15.0,,0 m²,0 m²,66 m²,,149 000€
,Agenție,Nu,Individuală,,,12,Secundar,2,,,Deschis,Apartament cu 3 camere,12.0,Euroreparație,,,56 m²,,118 900€
,Dezvoltator imobiliar,2,Ms (serie  moldovenească),,,3,Secundar,2,,,,Apartament cu 2 camere,9.0,Euroreparație,,52 m²,60 m²,,112 900€
,Agenție,1,,,Varicom,10,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,10.0,Euroreparație,,,46 m²,,109 900€
,Agenție,2,102,,,5,Secundar,2,,,Garaj,Apartament cu 4 camere,5.0,Design individual,9 m²,45 m²,84 m²,Cotileț,59 000€
,Agenție,1,,,Basconslux,6,Construcţii noi,1,,,,Apartament cu 1 cameră,9.0,Reparație cosmetică,,,48 m²,,100 000€
,Agenție,2,St (Stalinka),,Lagmar Impex,5,Secundar,1,,,Deschis,Apartament cu 1 cameră,3.0,Construcție nefinisată,,,60 m²,Cotileț,92 900€
Se acceptă animale,Persoană fizică,1,,Se acceptă copii,Exfactor-grup,6,Construcţii noi,2,,Apartament cu living,Subterană,Apartament cu 2 camere,10.0,Euroreparație,,,95 m²,Combinat,199 000€
,Dezvoltator imobiliar,2,,,,3,Construcţii noi,,275 cm,Apartament cu living,Subterană,Apartament cu 1 cameră,9.0,,,,49 m²,Cărămidă,67 000€
,Agenție,,Cămin familial,,,3,Secundar,1,,,,O cameră,5.0,Euroreparație,,,17 m²,Cotileț,32 900€
,Agenție,1,,,Lagmar Impex,12,Construcţii noi,1,,,,Apartament cu 1 cameră,17.0,Euroreparație,,,50 m²,,93 000€
,Persoană fizică,,,,,3,Construcţii noi,,,,,Apartament cu 1 cameră,8.0,,,,42 m²,,80 000€
,Agenție,1,,,Sky House,1,Construcţii noi,2,,,,Apartament cu 2 camere,9.0,Variantă albă,,,59 m²,,76 700€
,Agenție,1,Individuală,,,2,Construcţii noi,2,280 cm,Apartament cu living,Deschis,Apartament cu 3 camere,10.0,Euroreparație,,93 m²,94 m²,Cotileț,179 900€
,Agenție,,,,,3,Construcţii noi,,0 cm,,,Apartament cu 1 cameră,11.0,,0 m²,0 m²,42 m²,,56 990€
,Agenție,1,,,,2,Construcţii noi,1,,,Subterană,Apartament cu 2 camere,8.0,Variantă albă,,,62 m²,,77 500€
,Agenție,2,Individuală,,Exfactor-grup,1,Construcţii noi,2,,Apartament cu living,Subterană,Apartament cu 3 camere,10.0,Euroreparație,,96 m²,96 m²,Cărămidă,235 000€
,Agenție,,,,,1,Secundar,,,,,Apartament cu 2 camere,9.0,,,,54 m²,,82 000€
,Agenție,1,Individuală,,,6,Construcţii noi,1,300 cm,Apartament cu living,Deschis,Apartament cu 1 cameră,10.0,Variantă albă,,40 m²,40 m²,Combinat,55 500€
,Dezvoltator imobiliar,1,,,,1,Construcţii noi,1,,Apartament cu living,,Apartament cu 2 camere,6.0,Variantă albă,,,84 m²,,105 363€
,Agenție,,,,,5,Construcţii noi,1,,,Subterană,Apartament cu 1 cameră,6.0,Variantă albă,,,44 m²,,53 000€
,Agenție,1,,,,9,Construcţii noi,1,,,,Apartament cu 1 cameră,9.0,Euroreparație,,,41 m²,,123 000€
,Agenție,2,Individuală,,Lagmar Impex,9,Secundar,2,,,Deschis,Apartament cu 3 camere,10.0,Construcție nefinisată,,,83 m²,Combinat,93 600€
,Persoană fizică,,,,,2,Construcţii noi,,,,,O cameră,9.0,,,,54 m²,,58 000€
,Agenție,1,,,,3,Construcţii noi,1,,,,Apartament cu 2 camere,14.0,Variantă albă,,,45 m²,,75 900€
,Agenție,1,Individuală,,,5,Secundar,1,,,Deschis,Apartament cu 3 camere,6.0,Euroreparație,,,80 m²,Cotileț,140 000€
,Persoană fizică,,,,,7,Construcţii noi,,,,,Apartament cu 1 cameră,10.0,Variantă albă,,,38 m²,,39 700€
,Agenție,1,Individuală,,,2,Secundar,1,,Apartament cu living,Deschis,Apartament cu 2 camere,10.0,Euroreparație,,,65 m²,,124 900€
,Agenție,1,Individuală,,,16,Construcţii noi,2,,,Deschis,Apartament cu 3 camere,16.0,Euroreparație,,,90 m²,Combinat,124 900€
,Agenție,,,,,5,Construcţii noi,,0 cm,,,Apartament cu 2 camere,8.0,,0 m²,47 m²,47 m²,,115 000€
,Dezvoltator imobiliar,Nu,Garsonieră,,,4,Secundar,1,270 cm,Apartament fără living,Deschis,Apartament cu 1 cameră,9.0,Euroreparație,3 m²,12 m²,15 m²,Combinat,30 800€
,Agenție,,,,,4,Secundar,,0 cm,,,Apartament cu 2 camere,5.0,,0 m²,0 m²,47 m²,,27 000€
,Agenție,2,Individuală,,Lagmar Impex,3,Construcţii noi,1,,,Deschis,Apartament cu 2 camere,16.0,Euroreparație,,,70 m²,Beton celular,182 900€
,Agenție,,,,Lagmar Impex,7,Construcţii noi,,,,Subterană,Apartament cu 2 camere,9.0,Variantă albă,,,57 m²,Cărămidă,67 380€
,Agenție,,,,,6,Construcţii noi,,,,,Apartament cu 1 cameră,6.0,Variantă albă,,,23 m²,Cotileț,34 600€
,Dezvoltator imobiliar,,,,,2,Construcţii noi,,,Apartament cu living,,Apartament cu 3 camere,9.0,Euroreparație,,,100 m²,,155 000€
,Agenție,,,,,4,Construcţii noi,,,,,Apartament cu 3 camere,7.0,,,,137 m²,,300 000€
,Dezvoltator imobiliar,,,,Lagmar Impex,3,Construcţii noi,1,,Apartament cu living,Subterană,Apartament cu 1 cameră,15.0,,,,49 m²,,69 722€
,Agenție,Nu,Individuală,,,1,Secundar,1,,,Deschis,Apartament cu 1 cameră,3.0,Euroreparație,,,21 m²,,41 062€
,Agenție,,Individuală,,,7,Construcţii noi,1,,,Deschis,Apartament cu 2 camere,10.0,Euroreparație,,,59 m²,,235 000€
Fără animale,Agenție,Nu,Individuală,Se acceptă copii,,3,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,10.0,Euroreparație,,,55 m²,,99 900€
,Agenție,,,,,10,Construcţii noi,2,,,,Apartament cu 3 camere,12.0,Euroreparație,,,110 m²,,325 000€
,Agenție,,,,,20,Construcţii noi,2,,,,Apartament cu 3 camere,21.0,Variantă albă,,,95 m²,,153 000€
,Agenție,,,,Lagmar Impex,12,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,16.0,,,,57 m²,,80 000€
,Agenție,,,,,2,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,7.0,,,,93 m²,Cărămidă,215 000€
Fără animale,Persoană fizică,,,Cu acordul stăpânului,,2,Construcţii noi,,,,,Apartament cu 1 cameră,11.0,,,,50 m²,,550€
,Agenție,1,,,,4,Construcţii noi,2,,,Subterană,Apartament cu 1 cameră,12.0,Variantă albă,,,50 m²,,105 000€
,Persoană fizică,,,,,7,Construcţii noi,,,,,Apartament cu 2 camere,12.0,,,,73 m²,,124 500€
,Dezvoltator imobiliar,,,,Estate Invest Company,9,Construcţii noi,,,Apartament cu living,Subterană,Apartament cu 3 camere,9.0,Variantă sură,,,94 m²,,118 440€
,Agenție,,,,Lagmar Impex,5,Construcţii noi,1,,,,Apartament cu 1 cameră,16.0,Variantă albă,,,43 m²,,64 400€
