Autorul anunțului,Număr de camere,Living,Suprafață totală,Fond locativ,Etaj,Număr de etaje,Starea apartamentului,Grup sanitar,Loc de parcare,price,Balcon/ lojie,Compartimentare,Dezvoltator,Tip clădire,Copii,Animale,Suprafață locativă,Suprafață bucătărie,Inălțimea tavanelor
Agenție,Apartament cu 1 cameră,,40 m²,Secundar,1,9,Are nevoie de reparație,1,,61 500€,1,143,,,,,,,
Agenție,Apartament cu 3 camere,,150 m²,Construcţii noi,5,14,Euroreparație,1,,1 600€,2,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 3 camere,Apartament cu living,80 m²,Construcţii noi,2,6,Euroreparație,2,Deschis,145 000€,,Individuală,,Cotileț,,,0 m²,0 m²,0 cm
Agenție,Apartament cu 2 camere,Apartament cu living,75 m²,Construcţii noi,4,9,Euroreparație,1,Deschis,950€,,,Exfactor-grup,,Se acceptă copii,Fără animale,,,
Dezvoltator imobiliar,Apartament cu 3 camere,,100 m²,Construcţii noi,7,12,,,,131 000€,,,Solomon Construct Imobil,,,,,,
Agenție,Apartament cu 3 camere,,93 m²,Secundar,2,3,Euroreparație,2,,1 200€,1,,,,Se acceptă copii,Se acceptă animale,,,
Agenție,Apartament cu 2 camere,,62 m²,Construcţii noi,4,9,Euroreparație,1,,800€,1,,,,Se acceptă copii,Fără animale,,,
Dezvoltator imobiliar,Apartament cu 4 camere,,171 m²,Construcţii noi,5,6,Variantă albă,3,Subterană,395 000€,2,Individuală,,Cărămidă,,,,,300 cm
Agenție,Apartament cu 1 cameră,,23 m²,Secundar,4,5,,,,43 500€,,,,,,,,,
Agenție,Apartament cu 2 camere,,76 m²,Construcţii noi,2,8,Euroreparație,1,Deschis,700€,1,,,,Cu acordul stăpânului,Cu acordul stăpânului,0 m²,0 m²,0 cm
Dezvoltator imobiliar,Apartament cu 2 camere,Apartament cu living,81 m²,Construcţii noi,7,9,,,,168 900€,,,,,,,,,
Dezvoltator imobiliar,Apartament cu 2 camere,Apartament cu living,65 m²,Construcţii noi,12,12,,,,180 000€,,,,,,,0 m²,0 m²,0 cm
Agenție,Apartament cu 1 cameră,,54 m²,Construcţii noi,3,15,Variantă albă,1,,90 000€,1,,,,,,,,
Agenție,Apartament cu 2 camere,,50 m²,Construcţii noi,5,10,Euroreparație,,,750€,,,,,,,,,
Agenție,Apartament cu 3 camere,Apartament cu living,75 m²,Construcţii noi,9,19,Euroreparație,1,,799€,,,,,Se acceptă copii,Fără animale,,,
Persoană fizică,Apartament cu 2 camere,Apartament cu living,90 m²,Construcţii noi,5,7,Euroreparație,2,,850€,,,Coliseum Palace,,Cu acordul stăpânului,Fără animale,,,
Agenție,Apartament cu 3 camere,Apartament cu living,80 m²,Construcţii noi,10,11,Euroreparație,1,,700€,1,,,,Se acceptă copii,Fără animale,,,
Persoană fizică,Apartament cu 2 camere,,81 m²,Secundar,9,9,Design individual,2,Deschis,366€,2,Varț (Varnițkaia),,Bloc,Cu acordul stăpânului,Fără animale,56 m²,9 m²,280 cm
Persoană fizică,Apartament cu 1 cameră,Apartament cu living,56 m²,Secundar,1,3,Design individual,,,195 000€,,,,Cotileț,,,,,
Persoană fizică,Apartament cu 1 cameră,Apartament cu living,60 m²,Construcţii noi,13,14,Euroreparație,1,Deschis,750€,Nu,,Sky House,,Se acceptă copii,Cu acordul stăpânului,,,
Agenție,Apartament cu 1 cameră,,45 m²,Construcţii noi,6,11,Construcție nefinisată,1,Deschis,62 900€,1,Individuală,Lagmar Impex,Cărămidă,,,,,
Agenție,Apartament cu 4 camere,Apartament cu living,155 m²,Construcţii noi,11,11,Euroreparație,2,Deschis,3 000€,1,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Agenție,Apartament cu 3 camere,,59 m²,Construcţii noi,2,4,,1,Deschis,165 000€,,,,,,,,,
Agenție,Apartament cu 3 camere,Apartament cu living,64 m²,Construcţii noi,10,10,,,,146 900€,,,,,,,44 m²,0 m²,0 cm
Agenție,Apartament cu 3 camere,,97 m²,Secundar,6,7,,,,120 000€,,,,,,,,,
Agenție,Apartament cu 2 camere,Apartament cu living,50 m²,Construcţii noi,7,10,Euroreparație,1,,799€,,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 3 camere,,101 m²,Construcţii noi,6,9,Euroreparație,2,Garaj,175 000€,1,,Exfactor-grup,Cotileț,,,,,
Agenție,Apartament cu 2 camere,,94 m²,Construcţii noi,2,9,,,,650€,,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Agenție,Apartament cu 4 camere,,200 m²,Construcţii noi,5,5,Euroreparație,2,,179 000€,1,,Gonvaro-Con,,,,,,
Agenție,Apartament cu 3 camere,,85 m²,Construcţii noi,9,9,Variantă albă,2,,125 000€,1,,,Cărămidă,,,85 m²,,
Dezvoltator imobiliar,Apartament cu 2 camere,,73 m²,Construcţii noi,2,4,Variantă albă,1,Subterană,72 440€,1,,,Beton celular,,,,,290 cm
Agenție,Apartament cu 3 camere,,87 m²,Secundar,5,5,Reparație cosmetică,2,Deschis,139 500€,2,,,,,,,,
Agenție,Apartament cu 2 camere,,63 m²,Construcţii noi,12,13,Euroreparație,1,,160 000€,1,,,,,,,,
Persoană fizică,Apartament cu 2 camere,Apartament cu living,47 m²,Construcţii noi,10,12,Variantă albă,1,Deschis,99 000€,1,,Inamstro,Monolit,,,,,
Agenție,Apartament cu 3 camere,Apartament cu living,79 m²,Construcţii noi,10,14,Euroreparație,2,,1 400€,,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 3 camere,,118 m²,Construcţii noi,3,5,Euroreparație,2,Subterană,279 900€,1,,,,,,,,
Agenție,Apartament cu 1 cameră,Apartament cu living,43 m²,Construcţii noi,10,12,Euroreparație,1,Deschis,116 500€,1,,,,,,,,
Agenție,Apartament cu 2 camere,Apartament cu living,88 m²,Construcţii noi,1,10,Euroreparație,2,Deschis,199 000€,1,,Exfactor-grup,,,,0 m²,0 m²,0 cm
Agenție,Apartament cu 2 camere,,47 m²,Construcţii noi,18,21,Euroreparație,,,115 900€,,,,,,,,,
Agenție,Apartament cu 2 camere,,44 m²,Construcţii noi,12,12,Euroreparație,1,Subterană,115 900€,Nu,,Exfactor-grup,Monolit,,,,,
Persoană fizică,Apartament cu 2 camere,,47 m²,Secundar,3,5,Reparație cosmetică,1,Deschis,49 000€,1,,,,,,,,
Agenție,Apartament cu 1 cameră,Apartament cu living,75 m²,Construcţii noi,6,12,Euroreparație,2,Subterană,1 000€,,,,,Se acceptă copii,Se acceptă animale,,,
Agenție,Apartament cu 2 camere,,70 m²,Construcţii noi,6,10,Euroreparație,1,,550€,3,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 4 camere,Apartament cu living,200 m²,Construcţii noi,7,8,,2,,3 000€,2,,,,Se acceptă copii,Cu acordul stăpânului,,,
Agenție,Apartament cu 1 cameră,Apartament cu living,41 m²,Secundar,3,3,,1,Deschis,60 000€,1,,,,,,,,
Agenție,Apartament cu 1 cameră,,48 m²,Construcţii noi,3,6,Construcție nefinisată,1,Deschis,65 688€,1,Individuală,Estate Invest Company,Cărămidă,,,,,
Agenție,Apartament cu 3 camere,Apartament cu living,142 m²,Construcţii noi,8,8,Variantă albă,2,,255 600€,,,,,,,,,
Agenție,Apartament cu 2 camere,,73 m²,Construcţii noi,11,12,Euroreparație,1,,800€,1,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 2 camere,,75 m²,Construcţii noi,2,12,,2,,700€,1,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 2 camere,,45 m²,Construcţii noi,20,20,,1,Deschis,670€,1,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Agenție,Apartament cu 2 camere,Apartament cu living,84 m²,Construcţii noi,1,6,Variantă albă,2,Deschis,121 800€,1,Individuală,,Combinat,,,,36 m²,
Agenție,Apartament cu 1 cameră,,62 m²,Construcţii noi,9,12,,,,99 921€,,,,,,,,,
Persoană fizică,Apartament cu 3 camere,Apartament fără living,74 m²,Secundar,1,5,Reparație cosmetică,2,Deschis,93 500€,2,102,,Cotileț,,,,,
Persoană fizică,Apartament cu 1 cameră,,50 m²,Construcţii noi,5,13,Euroreparație,,,150MDL,1,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 3 camere,Apartament fără living,120 m²,Construcţii noi,9,10,Euroreparație,1,Deschis,265 000€,2,,,,,,,,
Agenție,Apartament cu 2 camere,,62 m²,Construcţii noi,5,6,,,,80 000€,,,,,,,,,
Agenție,Apartament cu 1 cameră,Apartament cu living,65 m²,Construcţii noi,8,10,Design individual,1,,1 500MDL,1,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 2 camere,,82 m²,Construcţii noi,8,16,Euroreparație,1,Deschis,172 900€,1,,,,,,,,
Dezvoltator imobiliar,Apartament cu 3 camere,,82 m²,Construcţii noi,15,16,,,,97 354€,1,,,,,,,,
Dezvoltator imobiliar,Apartament cu 4 camere,,165 m²,Secundar,9,10,,3,,255 000€,1,,,,,,165 m²,,
Persoană fizică,Apartament cu 3 camere,,88 m²,Construcţii noi,5,6,Euroreparație,2,,120 000€,,,AMIC,Cotileț,,,0 m²,0 m²,0 cm
Agenție,Apartament cu 1 cameră,,38 m²,Secundar,2,9,Reparație cosmetică,1,Deschis,57 900€,1,Individuală,,Panou,,,,,
Agenție,Apartament cu 2 camere,,60 m²,Construcţii noi,3,5,Variantă albă,1,Deschis,73 953€,1,,,,,,,,
Agenție,Apartament cu 1 cameră,Apartament cu living,54 m²,Construcţii noi,11,12,Variantă albă,,,105 000€,,,,,,,,,
Agenție,Apartament cu 2 camere,Apartament cu living,68 m²,Construcţii noi,7,10,Euroreparație,1,,600€,,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Agenție,Apartament cu 2 camere,,57 m²,Construcţii noi,5,9,Euroreparație,1,,191 900€,1,,,,,,,,
Agenție,Apartament cu 1 cameră,,45 m²,Construcţii noi,7,10,Euroreparație,1,Deschis,500€,,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Dezvoltator imobiliar,Apartament cu 3 camere,Apartament cu living,85 m²,Construcţii noi,4,9,Euroreparație,2,Deschis,189 000€,1,,,,,,,,
Persoană fizică,O cameră,,14 m²,Secundar,4,5,,,,250€,,,,,Fără copii,Fără animale,,,
Agenție,Apartament cu 3 camere,Apartament cu living,73 m²,Secundar,1,16,,2,Deschis,145 000€,1,,,,,,,,
Persoană fizică,O cameră,,12 m²,Secundar,3,5,Fără reparație,2,Deschis,1 234€,2,Cămin familial,,Cotileț,,,12 m²,8 m²,3 cm
Agenție,Apartament cu 1 cameră,,50 m²,Construcţii noi,3,15,Euroreparație,1,,650€,1,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Agenție,Apartament cu 3 camere,,140 m²,Construcţii noi,4,13,Euroreparație,2,,1 900€,2,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 3 camere,,85 m²,Construcţii noi,9,10,,,,125 000€,,,,,,,,,
Agenție,Apartament cu 2 camere,Apartament cu living,50 m²,Construcţii noi,7,12,Euroreparație,1,,850€,1,,,,Se acceptă copii,Fără animale,,,
Dezvoltator imobiliar,Apartament cu 3 camere,Apartament cu living,93 m²,Construcţii noi,15,21,,,,193 000€,,,,,,,0 m²,0 m²,0 cm
Agenție,Apartament cu 1 cameră,Apartament cu living,50 m²,Construcţii noi,7,20,Euroreparație,1,,600€,,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Dezvoltator imobiliar,Apartament cu 1 cameră,,40 m²,Construcţii noi,11,10,Euroreparație,1,Deschis,650MDL,Nu,,,,Se acceptă copii,Fără animale,,,
Dezvoltator imobiliar,Apartament cu 3 camere,,100 m²,Construcţii noi,2,3,,,,149 000€,,,,,,,,,
Agenție,Apartament cu 2 camere,,57 m²,Secundar,6,10,Reparație cosmetică,2,Deschis,89 000€,1,143,,,,,,,
Agenție,Apartament cu 2 camere,,63 m²,Construcţii noi,2,12,Construcție nefinisată,2,Deschis,85 090€,1,Individuală,Solomon Construct Imobil,Cărămidă,,,,,
Agenție,Apartament cu 2 camere,,83 m²,Construcţii noi,11,12,,,,750€,,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Agenție,Apartament cu 2 camere,Apartament cu living,89 m²,Construcţii noi,5,8,Euroreparație,2,Deschis,2 500€,Nu,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 1 cameră,,43 m²,Construcţii noi,3,12,,,,60 200€,,,,,,,43 m²,,
Agenție,Apartament cu 3 camere,,115 m²,Construcţii noi,21,21,Variantă albă,2,Deschis,179 900€,1,Individuală,,Combinat,,,,,
Persoană fizică,Apartament cu 4 camere,Apartament cu living,90 m²,Secundar,4,9,Euroreparație,,Deschis,169 000€,,135,,Panou,,,,,
Agenție,Apartament cu 2 camere,,79 m²,Construcţii noi,5,7,Variantă albă,2,Deschis,63 456€,2,,,,,,,,
Agenție,Apartament cu 3 camere,,105 m²,Construcţii noi,6,6,Variantă albă,2,,134 023€,,,,,,,,,
Agenție,Apartament cu 1 cameră,,47 m²,Construcţii noi,9,10,Variantă albă,2,Subterană,72 000€,2,,,,,,,,
Agenție,Apartament cu 3 camere,,75 m²,Construcţii noi,3,12,Euroreparație,,,165 000€,,,,,,,,,
Agenție,Apartament cu 3 camere,,120 m²,Construcţii noi,3,10,,,,1 300€,,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Agenție,Apartament cu 1 cameră,Apartament cu living,30 m²,Secundar,1,2,Euroreparație,1,Deschis,60 000€,,,,,,,,,
Agenție,Apartament cu 2 camere,,60 m²,Secundar,9,10,Euroreparație,2,,98 900€,,143,,,,,,,
Agenție,Apartament cu 3 camere,,98 m²,Construcţii noi,2,10,Euroreparație,2,,182 000€,Nu,Individuală,,,,,,,
Dezvoltator imobiliar,Apartament cu 2 camere,,39 m²,Secundar,16,16,Euroreparație,1,,70 000€,,,,,,,,,250 cm
Agenție,Apartament cu 2 camere,,76 m²,Construcţii noi,6,10,,,,270 000€,,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Persoană fizică,Apartament cu 2 camere,,62 m²,Construcţii noi,3,9,Euroreparație,,,50€,,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 3 camere,,85 m²,Construcţii noi,3,4,,,,900€,,,,,Cu acordul stăpânului,Fără animale,,,
Persoană fizică,Apartament cu 1 cameră,,42 m²,Construcţii noi,8,16,,1,Deschis,370€,2,,,Combinat,Cu acordul stăpânului,Fără animale,,12 m²,300 cm
Agenție,Apartament cu 2 camere,,85 m²,Construcţii noi,4,9,,,,1 800€,,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Persoană fizică,Apartament cu 2 camere,Apartament fără living,45 m²,Secundar,2,4,,,Deschis,190€,,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 2 camere,Apartament cu living,70 m²,Construcţii noi,11,11,Euroreparație,1,Deschis,159 000€,Nu,,Basconslux,,,,,,
Agenție,Apartament cu 3 camere,,95 m²,Construcţii noi,1,6,Euroreparație,2,Deschis,280 000€,1,,,,,,,,
Agenție,Apartament cu 2 camere,,45 m²,Secundar,5,5,,,,900MDL,,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 3 camere,,125 m²,Construcţii noi,2,12,,2,,1 350€,1,,,,Se acceptă copii,Fără animale,,,
Dezvoltator imobiliar,Apartament cu 4 camere,,170 m²,Construcţii noi,12,12,Variantă albă,3,Subterană,253 770€,1,,,,,,,,
Agenție,Apartament cu 3 camere,,64 m²,Construcţii noi,4,7,Variantă albă,2,,92 075€,1,,,,,,,,
Agenție,Apartament cu 2 camere,,47 m²,Secundar,6,9,Euroreparație,1,Deschis,96 500€,,,,,,,,,
Agenție,Apartament cu 1 cameră,Apartament fără living,40 m²,Construcţii noi,3,9,Euroreparație,1,Deschis,400€,1,,Forum Prim,,Se acceptă copii,Se acceptă animale,,,
Dezvoltator imobiliar,Apartament cu 3 camere,,83 m²,Construcţii noi,5,13,Variantă albă,2,Deschis,128 805€,2,,,,,,83 m²,,
Agenție,Apartament cu 3 camere,,82 m²,Construcţii noi,1,1,Reparație cosmetică,,,152 000€,,,,,,,,,
Persoană fizică,Apartament cu 4 camere,Apartament cu living,113 m²,Construcţii noi,6,7,Euroreparație,3,Subterană,340 000€,1,,,,,,0 m²,0 m²,0 cm
Dezvoltator imobiliar,Apartament cu 3 camere,Apartament cu living,84 m²,Construcţii noi,3,9,Variantă albă,,Subterană,104 000€,2,,,Cărămidă,,,,,275 cm
Agenție,Apartament cu 2 camere,,77 m²,Construcţii noi,10,12,Variantă albă,1,Subterană,146 300€,1,,,,,,,,
Dezvoltator imobiliar,Apartament cu 2 camere,,71 m²,Construcţii noi,3,5,Variantă albă,2,Subterană,78 100€,1,Individuală,Exfactor-grup,Cărămidă,,,71 m²,23 m²,310 cm
Agenție,Apartament cu 1 cameră,,47 m²,Construcţii noi,8,10,Euroreparație,2,Deschis,124 500€,1,Individuală,,Cărămidă,,,,,
Agenție,Apartament cu 2 camere,Apartament cu living,70 m²,Construcţii noi,9,14,Design individual,1,Subterană,185 000€,1,Individuală,Lagmar Impex,Combinat,,,,,
Persoană fizică,Apartament cu 1 cameră,Apartament cu living,56 m²,Construcţii noi,8,10,Euroreparație,1,Subterană,450€,1,Individuală,Basconslux,Combinat,Se acceptă copii,Cu acordul stăpânului,56 m²,16 m²,280 cm
Persoană fizică,Apartament cu 2 camere,,75 m²,Construcţii noi,2,10,Variantă albă,,,127 500€,,,Dansicons,Combinat,,,,,
Dezvoltator imobiliar,Apartament cu 3 camere,Apartament cu living,95 m²,Construcţii noi,9,10,Design individual,,,219 000€,,,Dansicons,,,,,,
Agenție,Apartament cu 1 cameră,,46 m²,Secundar,5,5,Euroreparație,,,900MDL,,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 2 camere,,71 m²,Secundar,3,9,,,Deschis,38 500€,,,,,,,,,
Agenție,Apartament cu 2 camere,Apartament cu living,75 m²,Construcţii noi,3,12,Variantă albă,2,Deschis,136 000€,1,,Exfactor-grup,,,,,,
Agenție,Apartament cu 4 camere,Apartament fără living,130 m²,Secundar,6,6,Euroreparație,2,Deschis,169 000€,2,,,,,,,,
Agenție,Apartament cu 1 cameră,Apartament cu living,35 m²,Secundar,5,5,Euroreparație,,,68 500€,,,,,,,,,
Agenție,Apartament cu 2 camere,,53 m²,Secundar,8,10,Euroreparație,2,Deschis,106 900€,1,Ms (serie  moldovenească),,,,,,,
Agenție,Apartament cu 2 camere,,60 m²,Secundar,6,16,Euroreparație,2,Deschis,450€,1,,,,Fără copii,Fără animale,,,
Agenție,Apartament cu 4 camere,,370 m²,Construcţii noi,5,5,Euroreparație,2,,7 000€,,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 3 camere,,85 m²,Construcţii noi,5,10,Variantă albă,2,Subterană,108 800€,2,,Exfactor-grup,Combinat,,,,,
Agenție,Apartament cu 4 camere,,93 m²,Construcţii noi,5,6,,,,282 900€,,,,,,,,,
Agenție,Apartament cu 2 camere,Apartament cu living,95 m²,Construcţii noi,15,15,Euroreparație,1,Deschis,380 000€,,,Exfactor-grup,,,,,,
Agenție,Apartament cu 2 camere,,56 m²,Secundar,4,5,Reparație cosmetică,1,Deschis,102 000€,1,,,Cotileț,,,,,
Persoană fizică,Apartament cu 2 camere,Apartament fără living,70 m²,Construcţii noi,9,13,Euroreparație,2,Deschis,750€,2,Individuală,,Cărămidă,Se acceptă copii,Fără animale,70 m²,16 m²,2800 cm
Agenție,Apartament cu 1 cameră,Apartament cu living,44 m²,Construcţii noi,2,15,Variantă albă,1,Deschis,72 950€,1,,,,,,,,
Dezvoltator imobiliar,Apartament cu 3 camere,Apartament cu living,75 m²,Construcţii noi,3,10,Euroreparație,1,,139 900€,2,Individuală,,Monolit,,,,,
Persoană fizică,Apartament cu 2 camere,Apartament cu living,50 m²,Construcţii noi,3,13,Euroreparație,1,,145 000€,,,Inamstro,,,,50 m²,,
Persoană fizică,Apartament cu 3 camere,,,Construcţii noi,,,,,,400€,,,,,Se acceptă copii,Fără animale,,,
Dezvoltator imobiliar,Apartament cu 3 camere,,85 m²,Construcţii noi,1,11,Euroreparație,2,Deschis,149 900€,,Individuală,,Cotileț,,,0 m²,0 m²,0 cm
Agenție,Apartament cu 2 camere,,59 m²,Secundar,11,5,Euroreparație,1,Deschis,122 900€,1,Individuală,,Cotileț,,,,,
Persoană fizică,Apartament cu 3 camere,Apartament cu living,94 m²,Construcţii noi,9,9,Euroreparație,2,Deschis,219 000€,,,,,,,,,
Agenție,Apartament cu 2 camere,Apartament cu living,55 m²,Secundar,1,2,Euroreparație,1,Deschis,82 900€,1,,,Cotileț,,,0 m²,0 m²,0 cm
Agenție,Apartament cu 1 cameră,Apartament fără living,20 m²,Secundar,4,5,Euroreparație,1,Deschis,32 900€,Nu,,,,,,,,
Agenție,Apartament cu 1 cameră,,48 m²,Construcţii noi,2,9,Euroreparație,1,Deschis,64 900€,1,Individuală,,Cărămidă,,,,,
Agenție,Apartament cu 2 camere,Apartament cu living,70 m²,Construcţii noi,4,10,Euroreparație,1,,1 000€,,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Agenție,Apartament cu 2 camere,,56 m²,Construcţii noi,2,11,,,,126 800€,,,,,,,,,
Persoană fizică,Apartament cu 2 camere,,63 m²,Construcţii noi,6,11,Variantă albă,2,Deschis,81 300€,1,,,,,,,,
Agenție,Apartament cu 3 camere,,62 m²,Secundar,2,2,Euroreparație,1,,650€,1,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 1 cameră,,50 m²,Construcţii noi,2,9,Euroreparație,1,,780€,1,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Dezvoltator imobiliar,Apartament cu 2 camere,Apartament cu living,82 m²,Construcţii noi,3,10,Variantă albă,2,Subterană,141 000€,1,Individuală,Estate Invest Company,Cărămidă,,,0 m²,0 m²,0 cm
Agenție,Apartament cu 2 camere,Apartament cu living,75 m²,Construcţii noi,7,7,Euroreparație,2,Deschis,159 900€,1,,Solomon Construct Imobil,,,,0 m²,0 m²,0 cm
Agenție,Apartament cu 3 camere,,75 m²,Construcţii noi,2,9,,2,Deschis,1 200€,1,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Dezvoltator imobiliar,Apartament cu 2 camere,Apartament cu living,50 m²,Construcţii noi,3,7,,,,102 000€,,,,,,,,,
Agenție,Apartament cu 3 camere,,84 m²,Secundar,6,7,Reparație cosmetică,1,Deschis,120 000€,1,,,,,,,,
Agenție,Apartament cu 3 camere,,60 m²,Secundar,6,9,Euroreparație,,,115 900€,,143,,Monolit,,,0 m²,0 m²,0 cm
Agenție,Apartament cu 2 camere,,41 m²,Secundar,14,16,Euroreparație,1,Deschis,82 900€,,,,,,,,,
Agenție,Apartament cu 1 cameră,,61 m²,Construcţii noi,3,5,Design individual,,,150MDL,,Individuală,,Cotileț,Se acceptă copii,Fără animale,,,
Persoană fizică,Apartament cu 2 camere,,45 m²,Secundar,1,1,Are nevoie de reparație,1,Deschis,39 000€,,Individuală,,Cotileț,,,,,
Dezvoltator imobiliar,Apartament cu 2 camere,Apartament cu living,71 m²,Construcţii noi,12,15,Euroreparație,1,Subterană,185 900€,1,,Exfactor-grup,Cărămidă,,,0 m²,0 m²,0 cm
Agenție,Apartament cu 2 camere,,50 m²,Construcţii noi,4,10,Euroreparație,1,,200MDL,1,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 3 camere,,150 m²,Construcţii noi,4,6,Variantă albă,2,Deschis,119 900€,2,Individuală,,Cărămidă,,,,,
Agenție,Apartament cu 3 camere,Apartament cu living,117 m²,Construcţii noi,10,10,Euroreparație,2,Deschis,250 000€,,,,,,,,,
Persoană fizică,Apartament cu 1 cameră,Apartament cu living,53 m²,Construcţii noi,7,9,Variantă albă,1,,145 900€,1,Individuală,Lagmar Impex,Cărămidă,,,,,30 cm
Agenție,Apartament cu 3 camere,,64 m²,Construcţii noi,10,10,Euroreparație,1,,146 900€,1,,,,,,,,
Agenție,Apartament cu 2 camere,,74 m²,Construcţii noi,3,3,,,,125 000€,,,,,,,,,
Dezvoltator imobiliar,Apartament cu 3 camere,,60 m²,Secundar,1,5,,,Deschis,1 000MDL,1,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 3 camere,,70 m²,Secundar,7,14,Euroreparație,2,,105 000€,2,,,,,,,,
Agenție,Apartament cu 2 camere,Apartament cu living,80 m²,Construcţii noi,3,10,,,,185 000€,,,,,,,,,290 cm
Agenție,Apartament cu 2 camere,,81 m²,Construcţii noi,9,14,Euroreparație,2,Deschis,244 900€,1,Individuală,Lagmar Impex,Beton celular,,,,,
Persoană fizică,Apartament cu 1 cameră,,50 m²,Construcţii noi,2,11,,,,550€,,,,,Cu acordul stăpânului,Fără animale,,,
Agenție,Apartament cu 2 camere,,63 m²,Construcţii noi,4,7,Construcție nefinisată,2,Deschis,92 100€,Nu,Individuală,,Beton celular,,,,,
Agenție,Apartament cu 1 cameră,,62 m²,Construcţii noi,11,11,Euroreparație,1,Deschis,104 900€,1,Individuală,,Combinat,,,,,
Persoană fizică,O cameră,,14 m²,Secundar,4,5,,,,250€,,,,,Fără copii,Fără animale,,,
Agenție,Apartament cu 2 camere,,69 m²,Construcţii noi,4,12,Construcție nefinisată,2,Deschis,93 720€,1,Individuală,Solomon Construct Imobil,Cărămidă,,,,,
Agenție,Apartament cu 1 cameră,,16 m²,Secundar,,,,,,1 000MDL,,,,,,,,,
Agenție,Apartament cu 1 cameră,Apartament cu living,49 m²,Construcţii noi,3,10,Euroreparație,1,,135 000€,1,,,,,,,,
Agenție,O cameră,,18 m²,Secundar,5,5,Euroreparație,1,Deschis,29 900€,1,,,Cotileț,,,,,
Persoană fizică,Apartament cu 1 cameră,,55 m²,Construcţii noi,13,14,Euroreparație,1,Deschis,40€,1,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 1 cameră,,20 m²,Secundar,3,5,Euroreparație,1,Deschis,33 900€,,,,Cotileț,,,,,
Persoană fizică,Apartament cu 2 camere,,50 m²,Secundar,2,5,,,,700€,,,,,Se acceptă copii,Fără animale,0 m²,0 m²,0 cm
Agenție,Apartament cu 1 cameră,Apartament cu living,51 m²,Construcţii noi,2,10,Variantă albă,1,Deschis,81 500€,1,,Lagmar Impex,,,,,,
Persoană fizică,Apartament cu 2 camere,,50 m²,Secundar,5,5,Reparație cosmetică,,Deschis,79 500€,2,102,,Cotileț,,,,,
Dezvoltator imobiliar,O cameră,,65 m²,Construcţii noi,4,5,,,,200€,,,,,Fără copii,Fără animale,,,
Agenție,Apartament cu 2 camere,Apartament cu living,74 m²,Construcţii noi,2,8,Variantă albă,1,Subterană,104 900€,1,,Element Stil,Cărămidă,,,74 m²,,
Dezvoltator imobiliar,Apartament cu 2 camere,,72 m²,Construcţii noi,7,14,,,,900MDL,,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 1 cameră,,61 m²,Construcţii noi,3,7,Euroreparație,,,150MDL,1,Individuală,,Cotileț,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 2 camere,,47 m²,Construcţii noi,1,5,,,,105 000€,,,,,,,,,
Agenție,Apartament cu 3 camere,,69 m²,Secundar,7,9,Reparație cosmetică,2,Deschis,78 000€,2,Ms (serie  moldovenească),,Panou,,,,,
Persoană fizică,Apartament cu 3 camere,Apartament cu living,100 m²,Construcţii noi,2,10,Variantă albă,2,,119 000€,2,Individuală,Boiar House,Combinat,,,,13 m²,260 cm
