Autorul anunțului,Număr de camere,Living,Suprafață totală,Fond locativ,Etaj,Număr de etaje,Starea apartamentului,Grup sanitar,Loc de parcare,price,Balcon/ lojie,Compartimentare,Dezvoltator,Tip clădire,Copii,Animale,Suprafață locativă,Suprafață bucătărie,Inălțimea tavanelor
Agenție,Apartament cu 3 camere,Apartament cu living,85 m²,Construcţii noi,3,6,Euroreparație,2,,1 500€,1,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Agenție,Apartament cu 3 camere,,57 m²,Secundar,4,5,Fără reparație,2,Deschis,74 000€,1,Brj (Brejnevka),,Cotileț,,,,,
Dezvoltator imobiliar,Apartament cu 1 cameră,Apartament cu living,47 m²,Construcţii noi,10,15,Variantă albă,,,65 000€,,,,,,,,,
Agenție,Apartament cu 2 camere,,51 m²,Secundar,2,5,Euroreparație,1,Deschis,99 900€,1,Brj (Brejnevka),,Cotileț,,,,,
Persoană fizică,Apartament cu 1 cameră,,45 m²,Construcţii noi,5,12,Euroreparație,,Deschis,600€,,,,,Fără copii,Fără animale,,,
Persoană fizică,Apartament cu 1 cameră,,40 m²,Secundar,4,5,,,,500MDL,,,,,Se acceptă copii,Fără animale,,,
Persoană fizică,Apartament cu 1 cameră,,32 m²,Secundar,4,5,,1,,150MDL,1,Hruşciovka,,Cotileț,Fără copii,Fără animale,,,
Agenție,Apartament cu 1 cameră,Apartament cu living,57 m²,Construcţii noi,1,6,,,,134 900€,,,,,,,,,
Agenție,Apartament cu 2 camere,,63 m²,Construcţii noi,5,12,Variantă albă,2,Subterană,86 310€,1,,,,,,,,
Persoană fizică,Apartament cu 2 camere,Apartament fără living,44 m²,Secundar,4,5,,2,Deschis,84 950€,1,102,,Cotileț,,,30 m²,7 m²,260 cm
Agenție,Apartament cu 2 camere,Apartament cu living,72 m²,Construcţii noi,3,9,Euroreparație,2,,249 000€,,,,,,,,,
Persoană fizică,Apartament cu 1 cameră,Apartament cu living,50 m²,Construcţii noi,2,6,Euroreparație,1,Deschis,420€,,,,Combinat,Se acceptă copii,Fără animale,,,
Dezvoltator imobiliar,Apartament cu 2 camere,,42 m²,Secundar,3,15,Fără reparație,,,38 500€,,,,Beton,,,,,
Agenție,Apartament cu 3 camere,,65 m²,Construcţii noi,12,14,Euroreparație,1,Deschis,1 000€,2,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Agenție,Apartament cu 2 camere,,48 m²,Secundar,3,3,Euroreparație,1,Deschis,82 900€,1,St (Stalinka),,Cotileț,,,,,
Dezvoltator imobiliar,Apartament cu 1 cameră,,32 m²,Secundar,9,10,Euroreparație,,,30 000€,,,,,,,,,
Agenție,Apartament cu 2 camere,Apartament cu living,150 m²,Construcţii noi,6,6,,2,,650 000€,1,,Inamstro,,,,0 m²,0 m²,0 cm
Dezvoltator imobiliar,Apartament cu 1 cameră,Apartament cu living,46 m²,Construcţii noi,3,9,Euroreparație,1,Deschis,599€,,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 1 cameră,,42 m²,Construcţii noi,1,10,Variantă albă,1,Garaj,58 000€,1,,,,,,42 m²,,
Persoană fizică,Apartament cu 1 cameră,,45 m²,Construcţii noi,3,12,Euroreparație,1,Deschis,150MDL,1,,,Beton,Fără copii,Fără animale,20 m²,12 m²,280 cm
Agenție,Apartament cu 1 cameră,,51 m²,Construcţii noi,8,13,,,,900€,,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Dezvoltator imobiliar,Apartament cu 1 cameră,,34 m²,Secundar,4,5,,,,56 000€,1,,,Cotileț,,,,,
Agenție,Apartament cu 2 camere,Apartament cu living,56 m²,Construcţii noi,6,12,Variantă albă,,,78 400€,,,,,,,,,
Agenție,Apartament cu 1 cameră,Apartament cu living,43 m²,Construcţii noi,10,12,Euroreparație,1,Deschis,116 500€,1,,,,,,,,
Dezvoltator imobiliar,Apartament cu 2 camere,Apartament cu living,76 m²,Construcţii noi,9,12,,,,136 000€,,,,,,,,,
Agenție,Apartament cu 3 camere,,75 m²,Construcţii noi,9,10,Euroreparație,1,Subterană,1 000€,2,,,,Se acceptă copii,Fără animale,,,
Persoană fizică,Apartament cu 3 camere,,87 m²,Secundar,3,9,Euroreparație,1,Subterană,1 200€,2,Individuală,,Cotileț,Cu acordul stăpânului,Fără animale,79 m²,12 m²,2500 cm
Dezvoltator imobiliar,Apartament cu 2 camere,Apartament cu living,88 m²,Construcţii noi,Penthouse,8,Variantă albă,2,Subterană,80 080€,3,,,Beton,,,,,
Agenție,Apartament cu 3 camere,,150 m²,Construcţii noi,9,9,,2,Deschis,1 400€,2,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 2 camere,,50 m²,Construcţii noi,2,5,,,,750€,,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Agenție,Apartament cu 2 camere,,60 m²,Construcţii noi,3,10,Euroreparație,1,,800€,1,,,,Se acceptă copii,Fără animale,,,
Persoană fizică,Apartament cu 2 camere,,45 m²,Secundar,3,5,,,,86 500€,1,,,,,,,,
Agenție,Apartament cu 1 cameră,Apartament cu living,42 m²,Construcţii noi,9,9,Euroreparație,,,78 500€,,,,,,,,,
Agenție,Apartament cu 3 camere,,123 m²,Construcţii noi,15,16,Euroreparație,2,Garaj,295 900€,Nu,,,,,,,,
