animals,author_of_the_announcement,balcony_loggia,compartmentalization,children,developer,floor,housing_fund,bathroom,ceiling_height,living_room,parking_spot,number_of_rooms,number_of_floors,apartment_condition,kitchen_area,living_area,total_area,building_type,price
,Agenție,Nu,Individuală,,,11,Construcţii noi,2,,,Deschis,Apartament cu 3 camere,14.0,Euroreparație,,,95 m²,,289000
,Agenție,,,,,3,Secundar,,,,,Apartament cu 3 camere,5.0,,,,48 m²,,72500
,Agenție,1,,,,3,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,12.0,,,,54 m²,,50400
,Agenție,,,,Estate Invest Company,3,Construcţii noi,2,0 cm,Apartament cu living,,Apartament cu 2 camere,10.0,Variantă albă,0 m²,0 m²,71 m²,,105900
,Agenție,2,Individuală,,,5,Secundar,2,,,Deschis,Apartament cu 3 camere,5.0,Euroreparație,,,86 m²,Cotileț,153800
,Agenție,,,,,7,Secundar,1,,,,Apartament cu 1 cameră,9.0,Reparație cosmetică,,,22 m²,,29500
,Persoană fizică,Nu,Cămin familial,,,2,Secundar,1,,,,Apartament cu 1 cameră,5.0,Reparație cosmetică,,15 m²,16 m²,,10499
,Dezvoltator imobiliar,,,,,12,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,12.0,,,,50 m²,,147900
,Agenție,1,,,,1,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,6.0,Euroreparație,,,77 m²,,109900
,Agenție,1,Individuală,,Lagmar Impex,9,Construcţii noi,1,,Apartament cu living,Subterană,Apartament cu 2 camere,14.0,Design individual,,,70 m²,Combinat,185000
,Agenție,1,Individuală,,Horus,5,Construcţii noi,1,2800 cm,Apartament cu living,Deschis,Apartament cu 2 camere,14.0,Euroreparație,18 m²,75 m²,75 m²,Cărămidă,175900
,Dezvoltator imobiliar,2,,,,3,Construcţii noi,2,275 cm,,Subterană,Apartament cu 3 camere,5.0,Variantă albă,,,96 m²,Cărămidă,106550
,Agenție,Nu,Individuală,,,1,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,11.0,Euroreparație,,,65 m²,,89900
,Dezvoltator imobiliar,,Individuală,,,9,Construcţii noi,,,,Subterană,Apartament cu 3 camere,10.0,Variantă albă,,,73 m²,Cărămidă,116992
Se acceptă animale,Agenție,1,,Se acceptă copii,,9,Construcţii noi,2,,Apartament fără living,Deschis,Apartament cu 3 camere,10.0,Euroreparație,,,108 m²,,285000
,Agenție,,,,,5,Secundar,,,,,Apartament cu 1 cameră,5.0,,,,18 m²,,29900
,Dezvoltator imobiliar,2,,,,3,Construcţii noi,,275 cm,Apartament cu living,Subterană,Apartament cu 2 camere,9.0,Variantă albă,,,67 m²,Cărămidă,87000
Fără animale,Agenție,1,Individuală,Se acceptă copii,,10,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 2 camere,10.0,Euroreparație,,,161 m²,,350000
,Agenție,1,,,,1,Construcţii noi,1,,,,Apartament cu 2 camere,9.0,Euroreparație,,,55 m²,,95000
,Persoană fizică,,Individuală,,Dansicons,12,Construcţii noi,3,,Apartament cu living,,Apartament cu 3 camere,12.0,Design individual,,,200 m²,Bloc,520000
,Agenție,1,Individuală,,Element Stil,4,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,6.0,Construcție nefinisată,,,44 m²,,64900
,Agenție,1,Individuală,,,6,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,24.0,Construcție nefinisată,,,49 m²,Cărămidă,97500
,Agenție,1,,,,6,Construcţii noi,2,,Apartament fără living,Deschis,Apartament cu 2 camere,7.0,Euroreparație,,,59 m²,,161000
,Agenție,,,,,7,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,11.0,,,,42 m²,,56700
,Dezvoltator imobiliar,,,,,8,Construcţii noi,,,,,Apartament cu 3 camere,9.0,,,,91 m²,,350000
,Agenție,,,,,4,Construcţii noi,2,,Apartament cu living,Subterană,Apartament cu 2 camere,7.0,Euroreparație,,,84 m²,,255000
,Agenție,1,Individuală,,Basconslux,9,Construcţii noi,2,,,Deschis,Apartament cu 2 camere,11.0,Euroreparație,,,92 m²,Combinat,209000
,Dezvoltator imobiliar,,,,,2,Secundar,,,,,Apartament cu 1 cameră,5.0,Reparație cosmetică,,,16 m²,,21000
Cu acordul stăpânului,Agenție,1,Individuală,Cu acordul stăpânului,,2,Construcţii noi,1,,,Deschis,Apartament cu 2 camere,10.0,Euroreparație,,,60 m²,,124900
,Dezvoltator imobiliar,2,Individuală,,Exfactor-grup,3,Construcţii noi,2,280 cm,Apartament cu living,Subterană,Apartament cu 3 camere,10.0,Euroreparație,20 m²,60 m²,91 m²,Cărămidă,189900
,Agenție,Nu,Individuală,,,2,Secundar,1,,,Deschis,Apartament cu 1 cameră,9.0,Reparație cosmetică,,,40 m²,Cotileț,56900
,Agenție,Nu,,,,2,Secundar,1,,Apartament fără living,Deschis,Apartament cu 1 cameră,9.0,Reparație cosmetică,,,18 m²,,45000
,Agenție,1,Individuală,,,5,Secundar,1,,,Deschis,Apartament cu 2 camere,6.0,Fără reparație,,,46 m²,,72600
,Dezvoltator imobiliar,1,,,,6,Construcţii noi,1,,Apartament cu living,,Apartament cu 1 cameră,9.0,Variantă albă,,,43 m²,,47630
,Agenție,1,Individuală,,,9,Secundar,1,,,Deschis,Apartament cu 3 camere,20.0,Reparație cosmetică,,,77 m²,Combinat,98500
,Agenție,,,,,2,Construcţii noi,,,,,Apartament cu 2 camere,4.0,,,,75 m²,,225000
,Agenție,,,,,8,Secundar,,,,,Apartament cu 2 camere,16.0,,,,60 m²,,93000
,Persoană fizică,,,,,4,Secundar,1,,,Deschis,Apartament cu 1 cameră,5.0,Reparație cosmetică,15 m²,20 m²,30 m²,,30500
,Persoană fizică,1,,,,7,Construcţii noi,2,3 cm,Apartament cu living,Deschis,Apartament cu 2 camere,10.0,Construcție nefinisată,,,63 m²,Cărămidă,77000
,Agenție,2,,,,4,Construcţii noi,1,,,,Apartament cu 1 cameră,4.0,Euroreparație,,,41 m²,,87700
,Agenție,,,,,1,Secundar,,,,,Apartament cu 3 camere,5.0,Euroreparație,,,60 m²,,67000
,Dezvoltator imobiliar,,,,Dansicons,5,Construcţii noi,,0 cm,Apartament cu living,,Apartament cu 1 cameră,6.0,Variantă albă,0 m²,0 m²,52 m²,,47250
,Dezvoltator imobiliar,1,Individuală,,,3,Construcţii noi,2,,Apartament fără living,Subterană,Apartament cu 2 camere,7.0,Variantă albă,13 m²,,62 m²,Combinat,51543
,Agenție,1,,,,3,Secundar,,,,,Apartament cu 3 camere,5.0,,,,68 m²,,43000
,Agenție,,,,Exfactor-grup,11,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,13.0,Variantă albă,,74 m²,74 m²,Combinat,131200
,Agenție,1,,,,3,Secundar,2,,Apartament fără living,Deschis,Apartament cu 2 camere,5.0,Reparație cosmetică,,,54 m²,,88900
,Persoană fizică,2,,,,5,Secundar,2,,,,Apartament cu 2 camere,5.0,,,,50 m²,,74500
,Agenție,Nu,Individuală,,,3,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,12.0,Euroreparație,,,51 m²,,145000
,Agenție,1,,,,5,Secundar,1,,Apartament cu living,Deschis,Apartament cu 3 camere,5.0,Reparație cosmetică,,57 m²,57 m²,Cărămidă,86500
,Persoană fizică,2,,,Basconslux,2,Construcţii noi,1,,Apartament fără living,Deschis,Apartament cu 1 cameră,11.0,Euroreparație,,50 m²,50 m²,,145000
,Agenție,1,,,,19,Construcţii noi,3,,Apartament cu living,Subterană,Apartament cu 3 camere,21.0,Euroreparație,,,180 m²,,650000
,Dezvoltator imobiliar,1,,,,3,Construcţii noi,,,,Subterană,Apartament cu 2 camere,7.0,Variantă albă,,,62 m²,,60140
,Dezvoltator imobiliar,1,,,,2,Construcţii noi,1,290 cm,,Subterană,Apartament cu 1 cameră,4.0,Variantă albă,,,47 m²,,55476
,Agenție,Nu,Individuală,,,1,Secundar,1,,Apartament cu living,Deschis,Apartament cu 2 camere,5.0,Euroreparație,,,41 m²,,89900
Se acceptă animale,Agenție,Nu,,Se acceptă copii,,4,Construcţii noi,1,,Apartament fără living,Deschis,Apartament cu 2 camere,9.0,Euroreparație,,,62 m²,,129900
,Dezvoltator imobiliar,,,,,1,Secundar,,,,,Apartament cu 4 camere,2.0,,,,92 m²,,99000
,Agenție,,,,,1,Construcţii noi,,,Apartament cu living,Subterană,Apartament cu 2 camere,10.0,Euroreparație,,,70 m²,,124500
,Agenție,2,Individuală,,,5,Construcţii noi,3,,,Deschis,Apartament cu 4 camere,9.0,Design individual,33 m²,99 m²,166 m²,,575000
,Dezvoltator imobiliar,,,,,10,Construcţii noi,,,,,Apartament cu 2 camere,12.0,Euroreparație,,,94 m²,,394800
,Persoană fizică,,,,,9,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 3 camere,9.0,Euroreparație,,,94 m²,,219000
Fără animale,Agenție,1,Ms (serie  moldovenească),Se acceptă copii,,6,Secundar,1,,,Deschis,Apartament cu 1 cameră,9.0,Euroreparație,,,36 m²,,74900
,Agenție,Nu,,,,1,Secundar,1,,Apartament cu living,Garaj,Apartament cu 3 camere,3.0,Reparație cosmetică,,,110 m²,Cotileț,139900
,Agenție,1,,,,10,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,12.0,Euroreparație,,,43 m²,,116500
,Persoană fizică,1,,,Exfactor-grup,11,Construcţii noi,1,2800 cm,Apartament cu living,Subterană,Apartament cu 2 camere,11.0,Euroreparație,,,79 m²,,173800
,Agenție,,,,,10,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,10.0,Euroreparație,,72 m²,112 m²,,275000
,Dezvoltator imobiliar,1,,,,5,Secundar,,,Apartament cu living,,Apartament cu 1 cameră,5.0,,,,32 m²,,67900
,Agenție,3,,,,1,Secundar,2,,,Deschis,Apartament cu 3 camere,9.0,,,,72 m²,,62000
,Dezvoltator imobiliar,,,,,5,Secundar,,,,,Apartament cu 2 camere,5.0,,,,45 m²,,94900
,Persoană fizică,1,,,Sky House,5,Construcţii noi,1,0 cm,Apartament fără living,Subterană,Apartament cu 1 cameră,9.0,Euroreparație,0 m²,0 m²,34 m²,Cărămidă,67000
,Agenție,2,,,,1,Construcţii noi,2,,,,Apartament cu 2 camere,9.0,Euroreparație,,,150 m²,,150000
,Dezvoltator imobiliar,2,,,Exfactor-grup,3,Construcţii noi,2,275 cm,Apartament cu living,Subterană,Apartament cu 3 camere,9.0,Variantă albă,,,84 m²,Cărămidă,106700
,Dezvoltator imobiliar,1,,,,1,Construcţii noi,2,,,,Apartament cu 3 camere,9.0,,,,127 m²,,174800
Se acceptă animale,Agenție,1,,Se acceptă copii,,4,Construcţii noi,,,,Deschis,Apartament cu 1 cameră,6.0,,,,41 m²,,76500
,Dezvoltator imobiliar,,,,,1,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,4.0,,,,52 m²,,105900
Se acceptă animale,Agenție,1,,Se acceptă copii,,2,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,15.0,Variantă albă,,,44 m²,,75500
,Agenție,,,,,1,Construcţii noi,2,,,,Apartament cu 4 camere,3.0,Variantă albă,,,142 m²,,390000
,Agenție,,,,,10,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,10.0,Euroreparație,,,45 m²,,119000
Se acceptă animale,Agenție,2,,Se acceptă copii,Lagmar Impex,8,Construcţii noi,2,,Apartament cu living,Subterană,Apartament cu 3 camere,11.0,Variantă albă,11 m²,88 m²,88 m²,Beton,96833
,Persoană fizică,2,,,,9,Secundar,2,,Apartament cu living,Deschis,Apartament cu 4 camere,17.0,Euroreparație,10 m²,,110 m²,Monolit,165000
,Agenție,,Individuală,,,5,Secundar,1,,,Deschis,Apartament cu 1 cameră,5.0,Are nevoie de reparație,,,39 m²,Cotileț,52000
,Agenție,2,Ms (serie  moldovenească),,,7,Secundar,2,280 cm,Apartament cu living,Deschis,Apartament cu 3 camere,10.0,Reparație cosmetică,12 m²,40 m²,70 m²,Beton,98000
,Agenție,2,,,,3,Secundar,,,Apartament cu living,Deschis,Apartament cu 2 camere,5.0,,,,63 m²,,104000
,Agenție,Nu,,,,9,Secundar,1,,,Deschis,O cameră,9.0,Euroreparație,,,15 m²,Panou,25700
Fără animale,Agenție,1,Individuală,Se acceptă copii,,11,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,11.0,Variantă albă,,,54 m²,,95200
,Agenție,,,,,9,Construcţii noi,,,,,Apartament cu 1 cameră,9.0,Variantă albă,,,121 m²,,76000
,Agenție,1,,,,3,Secundar,1,,,,Apartament cu 3 camere,9.0,Euroreparație,,,51 m²,,113000
,Dezvoltator imobiliar,,,,,6,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,12.0,Variantă albă,,,79 m²,Combinat,91600
,Persoană fizică,2,Individuală,,,4,Construcţii noi,1,255 cm,Apartament cu living,,Apartament cu 1 cameră,6.0,Construcție nefinisată,12 m²,17 m²,45 m²,Combinat,71000
,Agenție,1,,,,2,Construcţii noi,2,,,Subterană,Apartament cu 2 camere,9.0,Variantă albă,,,42 m²,,42000
,Agenție,2,Individuală,,,4,Construcţii noi,2,,,Deschis,Apartament cu 2 camere,8.0,Variantă albă,,,67 m²,,110550
,Agenție,1,Individuală,,,12,Secundar,1,,,Deschis,Apartament cu 1 cameră,16.0,Reparație cosmetică,8 m²,17 m²,34 m²,Combinat,55900
,Agenție,1,,,,8,Construcţii noi,2,,Apartament cu living,,Apartament cu 3 camere,15.0,Euroreparație,,,122 m²,,205000
,Agenție,,Individuală,,,2,Secundar,1,,,Deschis,Apartament cu 1 cameră,9.0,Reparație cosmetică,,,36 m²,,57000
,Dezvoltator imobiliar,3,,,,3,Construcţii noi,1,275 cm,,Subterană,Apartament cu 3 camere,9.0,Variantă albă,,,90 m²,Cărămidă,109800
,Agenție,Nu,Individuală,,,2,Secundar,2,,Apartament cu living,Deschis,Apartament cu 2 camere,9.0,Euroreparație,,,52 m²,,110000
,Agenție,2,,,Eldorado Terra,16,Construcţii noi,2,0 cm,Apartament cu living,Deschis,Apartament cu 2 camere,17.0,Euroreparație,0 m²,0 m²,80 m²,,214900
,Persoană fizică,,,,Exfactor-grup,8,Construcţii noi,,,Apartament cu living,,Apartament cu 3 camere,12.0,,,,105 m²,,285000
,Agenție,1,,,,6,Secundar,1,,,,Apartament cu 1 cameră,9.0,Euroreparație,,,38 m²,,74900
,Agenție,1,,,Solomon Construct Imobil,8,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 2 camere,12.0,Variantă albă,,,67 m²,,98500
,Dezvoltator imobiliar,Nu,,,,3,Construcţii noi,2,0 cm,,Garaj,Apartament cu 3 camere,4.0,Variantă albă,0 m²,0 m²,83 m²,Monolit,133600
,Agenție,,,,,3,Construcţii noi,,,Apartament cu living,,Apartament cu 3 camere,12.0,,,,90 m²,,250000
,Agenție,,,,,7,Secundar,,,,,O cameră,14.0,Euroreparație,,,25 m²,Panou,48000
,Agenție,,,,,9,Construcţii noi,,,,,Apartament cu 2 camere,12.0,Euroreparație,,,48 m²,,126500
,Persoană fizică,1,,,Lagmar Impex,2,Construcţii noi,1,,Apartament cu living,,Apartament cu 1 cameră,9.0,Variantă albă,,,49 m²,,85000
,Agenție,1,,,,10,Construcţii noi,1,,Apartament fără living,Deschis,Apartament cu 1 cameră,15.0,Variantă albă,,,44 m²,,71900
,Persoană fizică,,,,,2,Secundar,,,,,Apartament cu 1 cameră,5.0,,,,30 m²,,17000
,Agenție,1,Individuală,,,3,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,15.0,Variantă albă,,,53 m²,Beton celular,114900
,Persoană fizică,1,,,,4,Construcţii noi,1,,,,Apartament cu 1 cameră,15.0,Variantă albă,,,47 m²,,79000
,Dezvoltator imobiliar,,,,,1,Secundar,,,,,Apartament cu 2 camere,9.0,,,,54 m²,,76500
,Persoană fizică,,,,,1,Secundar,,,,,Apartament cu 4 camere,2.0,,,,80 m²,,160000
,Agenție,1,143,,,6,Secundar,2,,,Deschis,Apartament cu 2 camere,10.0,Reparație cosmetică,,,57 m²,,89000
,Agenție,1,Cămin familial,,,3,Secundar,1,,,Deschis,Apartament cu 1 cameră,5.0,Euroreparație,,,18 m²,,33900
,Dezvoltator imobiliar,,,,Solomon Construct Imobil,6,Construcţii noi,,,,,Apartament cu 2 camere,12.0,,,,72 m²,,98640
,Persoană fizică,,,,,5,Secundar,,,,,Apartament cu 3 camere,5.0,,,,70 m²,,44000
,Agenție,Nu,Individuală,,,8,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,10.0,Variantă albă,,,57 m²,Combinat,75500
,Agenție,Nu,Individuală,,,1,Secundar,1,,,Deschis,Apartament cu 2 camere,5.0,Reparație cosmetică,,53 m²,53 m²,Cotileț,72900
,Agenție,,,,Sky House,16,Construcţii noi,1,,Apartament cu living,Subterană,Apartament cu 1 cameră,18.0,Variantă albă,,,43 m²,Cărămidă,73050
,Agenție,2,,,Braus Imobiliare,14,Construcţii noi,2,,Apartament fără living,Deschis,Apartament cu 3 camere,21.0,Euroreparație,,,86 m²,Combinat,175900
,Agenție,,,,,9,Construcţii noi,1,,,,Apartament cu 1 cameră,12.0,Euroreparație,,,58 m²,,173000
,Persoană fizică,1,,,,4,Secundar,1,,,,Apartament cu 1 cameră,9.0,,,,34 m²,,61000
,Dezvoltator imobiliar,,,,,9,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,15.0,,,,78 m²,,245000
,Persoană fizică,,,,Pamir Construct,2,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,11.0,,,,65 m²,,122900
,Agenție,2,,,,5,Construcţii noi,,,,Deschis,Apartament cu 2 camere,9.0,Euroreparație,,69 m²,150 m²,,195000
,Agenție,1,,,Exfactor-grup,9,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 2 camere,10.0,Euroreparație,,,88 m²,,199000
,Dezvoltator imobiliar,1,,,,1,Construcţii noi,2,,,Subterană,Apartament cu 3 camere,11.0,Variantă albă,,,86 m²,,125000
,Agenție,1,Individuală,,Exfactor-grup,3,Construcţii noi,2,,,Subterană,Apartament cu 3 camere,12.0,Variantă albă,,,112 m²,Combinat,229000
,Agenție,,,,,1,Secundar,2,,Apartament cu living,Deschis,Apartament cu 3 camere,5.0,Euroreparație,,,108 m²,Cotileț,129900
,Agenție,2,,,Exfactor-grup,11,Construcţii noi,2,290 cm,Apartament cu living,,Apartament cu 2 camere,12.0,Variantă albă,12 m²,,75 m²,,137900
,Agenție,Nu,,,Exfactor-grup,9,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,9.0,Euroreparație,,,51 m²,,135000
,Agenție,,,,,Demisol,Secundar,,,Apartament cu living,,Apartament cu 3 camere,1.0,,,,42 m²,,64900
,Persoană fizică,,,,,6,Secundar,,,Apartament cu living,,Apartament cu 1 cameră,9.0,,,,20 m²,,29800
,Agenție,,,,,6,Construcţii noi,,,,,Apartament cu 3 camere,14.0,,,,105 m²,,320000
,Agenție,1,,,Exfactor-grup,5,Construcţii noi,1,,Apartament cu living,,Apartament cu 1 cameră,6.0,Euroreparație,,50 m²,50 m²,,130000
,Agenție,1,Individuală,,Solomon Construct Imobil,10,Construcţii noi,2,,,Deschis,Apartament cu 2 camere,10.0,Variantă albă,,,100 m²,Cărămidă,107900
,Agenție,,,,,4,Construcţii noi,2,,,,Apartament cu 3 camere,9.0,Euroreparație,,,92 m²,,238000
,Dezvoltator imobiliar,2,,,,3,Construcţii noi,,275 cm,Apartament cu living,Subterană,Apartament cu 2 camere,9.0,Variantă albă,,,67 m²,Cărămidă,89100
,Agenție,,,,Inamstro,6,Construcţii noi,,,,,Apartament cu 2 camere,15.0,,,,60 m²,,102000
,Agenție,,,,,1,Secundar,1,,,,Apartament cu 3 camere,1.0,Are nevoie de reparație,,,45 m²,Combinat,70000
,Dezvoltator imobiliar,,,,Estate Invest Company,7,Construcţii noi,,,Apartament cu living,Subterană,Apartament cu 2 camere,10.0,Variantă albă,,,61 m²,,70150
,Agenție,,,,,3,Construcţii noi,1,,,,Apartament cu 2 camere,10.0,Euroreparație,,,75 m²,,179900
Se acceptă animale,Agenție,Nu,,Se acceptă copii,,3,Secundar,1,,Apartament fără living,Deschis,Apartament cu 1 cameră,5.0,Euroreparație,,,18 m²,,34500
,Agenție,3,Individuală,,,6,Construcţii noi,3,,,Subterană,Apartament cu 3 camere,9.0,Euroreparație,,,172 m²,Combinat,299000
,Agenție,1,Ms (serie  moldovenească),,,10,Secundar,2,,,Deschis,Apartament cu 2 camere,10.0,Euroreparație,,,53 m²,,99900
,Dezvoltator imobiliar,,,,Exfactor-grup,10,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,12.0,,,,77 m²,,133210
,Agenție,Nu,,,,5,Secundar,1,,Apartament fără living,Deschis,Apartament cu 1 cameră,5.0,Are nevoie de reparație,,,37 m²,,55000
,Agenție,1,,,Exfactor-grup,9,Construcţii noi,1,,Apartament cu living,,Apartament cu 2 camere,9.0,Euroreparație,,,74 m²,,194900
,Agenție,1,Individuală,,Braus Imobiliare,18,Secundar,1,,,Deschis,Apartament cu 1 cameră,9.0,Euroreparație,,,47 m²,Panou,115900
,Agenție,,,,,3,Construcţii noi,,,,,Apartament cu 1 cameră,5.0,Variantă albă,,,55 m²,Cărămidă,80900
,Dezvoltator imobiliar,2,,,,5,Secundar,1,,,,Apartament cu 2 camere,5.0,Fără reparație,7 m²,31 m²,52 m²,Cotileț,5000
,Persoană fizică,1,Individuală,,,3,Construcţii noi,1,2900 cm,Apartament cu living,Deschis,Apartament cu 1 cameră,7.0,Variantă albă,17 m²,60 m²,61 m²,Combinat,53070
,Agenție,,,,,9,Construcţii noi,2,,Apartament cu living,Subterană,Apartament cu 2 camere,12.0,Euroreparație,,,70 m²,,185000
Cu acordul stăpânului,Agenție,2,Individuală,Cu acordul stăpânului,,1,Secundar,2,,,Deschis,Apartament cu 2 camere,5.0,Euroreparație,,,54 m²,,98000
,Agenție,,,,,1,Secundar,1,,Apartament cu living,,Apartament cu 2 camere,5.0,Euroreparație,,,45 m²,,92500
,Agenție,1,,,Eldorado Terra,8,Construcţii noi,2,,Apartament cu living,Subterană,Apartament cu 2 camere,17.0,Euroreparație,,,85 m²,,254000
,Agenție,1,,,,17,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,17.0,Euroreparație,,,80 m²,,143000
,Persoană fizică,,,,,2,Secundar,,,,,O cameră,5.0,,,,22 m²,,28900
,Persoană fizică,,,,,5,Secundar,,,,,Apartament cu 2 camere,7.0,Euroreparație,,,53 m²,,70900
,Dezvoltator imobiliar,Nu,,,,4,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,10.0,Euroreparație,,,35 m²,,110000
Se acceptă animale,Agenție,1,,Se acceptă copii,,1,Construcţii noi,2,0 cm,Apartament cu living,Deschis,Apartament cu 2 camere,10.0,Variantă albă,0 m²,0 m²,71 m²,,110000
,Agenție,Nu,,,,5,Construcţii noi,1,,,Subterană,Apartament cu 1 cameră,8.0,Variantă albă,,,41 m²,,45920
,Dezvoltator imobiliar,2,,,,3,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 2 camere,6.0,Variantă albă,,,67 m²,,49900
,Persoană fizică,1,Cămin familial,,,9,Secundar,2,111 cm,,Deschis,O cameră,9.0,Fără reparație,2 m²,12 m²,17 m²,Beton,17000
,Agenție,,,,,6,Construcţii noi,,,,,Apartament cu 2 camere,9.0,Variantă albă,,,64 m²,,107900
Se acceptă animale,Agenție,1,,Se acceptă copii,Exfactor-grup,12,Construcţii noi,1,0 cm,Apartament cu living,Deschis,Apartament cu 2 camere,15.0,Euroreparație,0 m²,0 m²,71 m²,,185900
,Agenție,,,,,2,Construcţii noi,1,0 cm,,,Apartament cu 1 cameră,16.0,Variantă albă,0 m²,0 m²,43 m²,,64500
,Agenție,Nu,Individuală,,,6,Secundar,1,,,Deschis,Apartament cu 1 cameră,9.0,Fără reparație,,,34 m²,,56900
,Dezvoltator imobiliar,,,,,6,Secundar,,,,,Apartament cu 2 camere,9.0,,,,65 m²,,92900
,Agenție,1,Individuală,,,6,Secundar,2,,,Deschis,Apartament cu 3 camere,11.0,Reparație cosmetică,,,67 m²,Cotileț,97000
,Agenție,1,Individuală,,,4,Secundar,2,,,Garaj,Apartament cu 3 camere,5.0,Fără reparație,,,61 m²,,84000
,Agenție,,,,Inamstro,5,Construcţii noi,1,0 cm,Apartament cu living,Subterană,Apartament cu 2 camere,10.0,Euroreparație,0 m²,0 m²,70 m²,Cărămidă,175000
,Agenție,1,Individuală,,Basconslux,8,Construcţii noi,1,,,Deschis,Apartament cu 2 camere,11.0,Euroreparație,,,74 m²,Combinat,179000
