animals,author_of_the_announcement,balcony_loggia,compartmentalization,children,developer,floor,housing_fund,bathroom,ceiling_height,living_room,parking_spot,number_of_rooms,number_of_floors,apartment_condition,kitchen_area,living_area,total_area,building_type,price
,Agenție,,,,,1,Secundar,2,,,,Apartament cu 2 camere,1.0,,,,55 m²,,89900
,Agenție,Nu,Individuală,,,6,Construcţii noi,1,,,Subterană,Apartament cu 2 camere,12.0,Euroreparație,,,80 m²,,179000
,Persoană fizică,1,,,,1,Secundar,1,,,Deschis,Apartament cu 2 camere,2.0,Reparație cosmetică,,44 m²,44 m²,Beton,28000
,Agenție,1,,,,3,Construcţii noi,1,0 cm,,,Apartament cu 2 camere,8.0,Euroreparație,0 m²,51 m²,51 m²,,139900
Se acceptă animale,Agenție,1,,Se acceptă copii,,15,Construcţii noi,1,0 cm,Apartament cu living,Deschis,Apartament cu 2 camere,16.0,Euroreparație,0 m²,0 m²,80 m²,,165000
,Persoană fizică,,,,,6,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,9.0,,,,42 m²,,56300
,Agenție,,,,,10,Construcţii noi,2,0 cm,Apartament cu living,,Apartament cu 3 camere,16.0,,0 m²,0 m²,85 m²,,106250
,Dezvoltator imobiliar,,,,,4,Construcţii noi,,0 cm,Apartament fără living,,Apartament cu 3 camere,11.0,Reparație cosmetică,0 m²,80 m²,80 m²,,139898
,Agenție,,,,Estate Invest Company,2,Construcţii noi,1,,Apartament fără living,Deschis,Apartament cu 2 camere,5.0,Euroreparație,,,74 m²,,225000
Se acceptă animale,Agenție,1,,Se acceptă copii,Solomon Construct Imobil,8,Construcţii noi,1,,Apartament cu living,Subterană,Apartament cu 2 camere,9.0,Variantă albă,12 m²,27 m²,57 m²,,76340
,Agenție,,,,Inamstro,5,Construcţii noi,1,,Apartament cu living,Subterană,Apartament cu 3 camere,10.0,Euroreparație,,,90 m²,,225000
,Agenție,1,Individuală,,,7,Secundar,2,,Apartament cu living,Deschis,Apartament cu 4 camere,20.0,Are nevoie de reparație,12 m²,52 m²,80 m²,Monolit,105900
,Agenție,1,,,,2,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,7.0,Euroreparație,,,67 m²,,145000
,Agenție,1,102,,Reconscivil,5,Secundar,2,,,Deschis,Apartament cu 2 camere,5.0,Euroreparație,,,66 m²,Cotileț,145900
,Agenție,1,,,,4,Secundar,1,,,Deschis,Apartament cu 2 camere,5.0,Euroreparație,,,46 m²,,82900
,Persoană fizică,1,,,,3,Secundar,,,,,Apartament cu 2 camere,5.0,,,,45 m²,,86500
,Agenție,,,,,3,Secundar,,,Apartament cu living,,Apartament cu 1 cameră,5.0,Euroreparație,,,33 m²,,73900
,Agenție,1,,,Lagmar Impex,9,Construcţii noi,1,,,Deschis,Apartament cu 2 camere,11.0,Design individual,,,65 m²,Cărămidă,183900
,Agenție,,,,,2,Secundar,1,,Apartament cu living,Deschis,Apartament cu 4 camere,12.0,Euroreparație,,90 m²,104 m²,Combinat,159900
,Agenție,1,,,,3,Secundar,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,5.0,Euroreparație,,,33 m²,,73900
Se acceptă animale,Dezvoltator imobiliar,,,Se acceptă copii,Estate Invest Company,4,Construcţii noi,1,,Apartament fără living,Subterană,Apartament cu 1 cameră,12.0,Variantă albă,,,52 m²,,53040
,Agenție,,,,,8,Construcţii noi,,,,,Apartament cu 5 camere sau mai multe,9.0,,,,232 m²,,322000
,Agenție,,Individuală,,,7,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,10.0,Variantă albă,,,37 m²,,43000
,Agenție,Nu,Individuală,,Inamstro,5,Construcţii noi,1,,Apartament cu living,,Apartament cu 3 camere,10.0,Euroreparație,,,90 m²,Combinat,225000
,Dezvoltator imobiliar,,,,Estate Invest Company,6,Construcţii noi,,,,,Apartament cu 2 camere,9.0,Variantă albă,,,68 m²,,93300
,Agenție,1,Individuală,,,9,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,15.0,Euroreparație,,,45 m²,Cărămidă,103900
,Persoană fizică,1,,,,4,Secundar,1,,,,Apartament cu 2 camere,5.0,Reparație cosmetică,,,48 m²,,15000
,Dezvoltator imobiliar,,,,Astercon,10,Construcţii noi,2,,Apartament cu living,Subterană,Apartament cu 3 camere,10.0,Euroreparație,,,96 m²,,410000
,Agenție,,,,,9,Construcţii noi,1,,Apartament cu living,,Apartament cu 3 camere,9.0,Euroreparație,,,100 m²,,275000
,Agenție,,,,,2,Construcţii noi,,,,,Apartament cu 1 cameră,6.0,Euroreparație,,,45 m²,Cărămidă,73900
,Persoană fizică,,,,,1,Secundar,,,,Deschis,Apartament cu 3 camere,5.0,Euroreparație,,108 m²,108 m²,Cotileț,149000
,Agenție,,,,,4,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,9.0,Variantă albă,,,58 m²,,57000
,Persoană fizică,1,,,,3,Secundar,1,,,Deschis,Apartament cu 2 camere,4.0,Reparație cosmetică,,,42 m²,Cotileț,37500
,Agenție,,,,,6,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,10.0,Euroreparație,,,70 m²,,164900
,Agenție,,,,,5,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,7.0,Euroreparație,,,35 m²,,80000
Cu acordul stăpânului,Agenție,,Individuală,Cu acordul stăpânului,,5,Secundar,1,,,Deschis,Apartament cu 1 cameră,5.0,Euroreparație,,,22 m²,,34900
,Dezvoltator imobiliar,2,,,,3,Construcţii noi,,275 cm,Apartament cu living,Subterană,Apartament cu 1 cameră,9.0,Variantă albă,,,49 m²,Cărămidă,69100
,Persoană fizică,,,,Dansicons,5,Construcţii noi,,,Apartament fără living,,Apartament cu 2 camere,9.0,Variantă albă,,,65 m²,,118000
,Agenție,,,,,7,Construcţii noi,1,,,,Apartament cu 1 cameră,13.0,Euroreparație,,,42 m²,,122900
,Agenție,2,,,,5,Secundar,2,,,Deschis,Apartament cu 3 camere,5.0,Euroreparație,,,87 m²,,139900
,Agenție,1,,,Estate Invest Company,5,Construcţii noi,2,,Apartament cu living,Subterană,Apartament cu 3 camere,7.0,Euroreparație,,,74 m²,,310000
,Agenție,,,,,2,Secundar,,,Apartament cu living,,Apartament cu 3 camere,5.0,,,74 m²,74 m²,,87500
,Persoană fizică,,,,,3,Construcţii noi,2,,,Deschis,Apartament cu 3 camere,5.0,Design individual,,100 m²,100 m²,Cotileț,148000
,Agenție,,,,,3,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,11.0,Euroreparație,,,42 m²,,98000
,Persoană fizică,1,,,Lagmar Impex,4,Construcţii noi,,0 cm,Apartament cu living,,Apartament cu 2 camere,9.0,Euroreparație,0 m²,0 m²,70 m²,,159900
,Agenție,,,,,1,Secundar,,,,,Apartament cu 1 cameră,5.0,,,,33 m²,,35500
Se acceptă animale,Agenție,1,,Se acceptă copii,,7,Construcţii noi,1,,Apartament fără living,Deschis,Apartament cu 1 cameră,7.0,Euroreparație,,,41 m²,,77900
,Agenție,1,,,,8,Construcţii noi,2,,,,Apartament cu 2 camere,17.0,Euroreparație,,,85 m²,,254000
,Agenție,1,Hruşciovka,,,5,Secundar,1,,,Deschis,Apartament cu 2 camere,5.0,Reparație cosmetică,,,50 m²,Panou,65000
,Agenție,1,,,,4,Secundar,1,,,Deschis,O cameră,6.0,Euroreparație,,,18 m²,,39900
,Agenție,1,Individuală,,Solomon Construct Imobil,6,Construcţii noi,1,,Apartament cu living,Subterană,Apartament cu 3 camere,11.0,Euroreparație,,,85 m²,,169900
,Agenție,1,Individuală,,,8,Construcţii noi,1,,,Subterană,Apartament cu 3 camere,12.0,Variantă albă,,,117 m²,,220000
,Agenție,,,,,1,Secundar,1,,,,Apartament cu 1 cameră,1.0,,,,29 m²,,50000
,Agenție,Nu,Individuală,,,3,Construcţii noi,1,,,,Apartament cu 1 cameră,21.0,Euroreparație,,,43 m²,Cărămidă,125000
