animals,author_of_the_announcement,balcony_loggia,compartmentalization,children,developer,floor,housing_fund,bathroom,ceiling_height,living_room,parking_spot,number_of_rooms,number_of_floors,apartment_condition,kitchen_area,living_area,total_area,building_type,price,region,is_penthouse
,Agenție,,Ms (serie  moldovenească),,,6.0,Secundar,1.0,,Apartament cu living,Deschis,2,9.0,Euroreparație,,,35,,79900,Chișinău_Botanica,0
,Agenție,,Individuală,,,12.0,Construcţii noi,2.0,,,Deschis,4,14.0,Variantă albă,,,126,,151200,Chișinău_Râșcani,0
,Dezvoltator imobiliar,,Individuală,,Lagmar Impex,12.0,Construcţii noi,1.0,2.9,Apartament cu living,Deschis,2,17.0,Euroreparație,15 m²,25 m²,50,Combinat,93000,Chișinău_Râșcani,0
,Dezvoltator imobiliar,,Individuală,,,2.0,Construcţii noi,1.0,,,,3,3.0,,,,50,,50000,Chișinău_Ciocana,0
,Dezvoltator imobiliar,1,Individuală,,Astercon,1.0,Construcţii noi,1.0,2.75,,Garaj,3,8.0,Variantă albă,0 m²,1 m²,65,Cotileț,96280,Dumbrava_Periferie,0
,Agenție,,Individuală,,,16.0,Secundar,1.0,,,,3,16.0,Euroreparație,,,40,,70000,Chișinău_Buiucani,0
,Agenție,Nu,Individuală,,,7.0,Construcţii noi,1.0,,,Deschis,3,9.0,Variantă albă,,,75,,135000,Chișinău_Centru,0
,Agenție,1,Individuală,,,5.0,Construcţii noi,2.0,,,Deschis,3,9.0,Reparație cosmetică,,,103,,143000,Chișinău_Centru,0
,Dezvoltator imobiliar,,Individuală,,,7.0,Construcţii noi,1.0,,Apartament cu living,,3,13.0,,,,73,,210000,Chișinău_Râșcani,0
,Agenție,Nu,Individuală,,Dansicons,3.0,Construcţii noi,2.0,,,Deschis,3,12.0,Euroreparație,,,84,Cărămidă,169900,Chișinău_Ciocana,0
,Agenție,1,Individuală,,,7.0,Construcţii noi,1.0,,,Deschis,2,8.0,Variantă albă,,,46,,57288,Chișinău_Durlești,0
,Agenție,Nu,Individuală,,Inamstro,5.0,Construcţii noi,1.0,,Apartament cu living,Deschis,3,11.0,Euroreparație,,,83,,185000,Chișinău_Râșcani,0
